Date,S&P_Movement,GOLD,OIL,SILVER,PLATINUM,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Volume,S&P_Open,S&P_High,S&P_Low,S&P_Close,S&P_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Volume,DAX_Open,DAX_High,DAX_Low,DAX_Close,ASX_Open,ASX_High,ASX_Low,ASX_Close,HANGSENG_Open,HANGSENG_High,HANGSENG_Low,HANGSENG_Close,VIX_Open,VIX_High,VIX_Low,VIX_Close,FOREX_AUS,FOREX_EUR,FOREX_NZ,FOREX_UK,FOREX_BR,FOREX_CAN,FOREX_CHINA,FOREX_DEN,FOREX_HK,FOREX_IND,FOREX_JAP,FOREX_KOR,FOREX_MAL,FOREX_MEX,FOREX_NOR,FOREX_SWE,FOREX_SOUTHAFR,FOREX_SINGA,FOREX_SRI,FOREX_SWI,FOREX_TAI,FOREX_THAI,FOREX_VEN
1/4/2000,1,-0.030146425,0,-0.00929368,-0.031111111,-0.03969957,-0.028371792,-0.02292898,-0.055543848,0.001172131,-0.009549109,-0.01541274,-0.028455972,-0.038344668,0.082850397,-0.013223926,-0.014923629,-0.028237128,-0.031660116,0.05107511,-0.030808475,-0.056425701,-0.031306981,-0.024265353,-0.024242816,-0.024242816,-0.024242816,-0.024242816,0.014380649,-0.007067544,-0.007279979,-0.017087902,0.023809523,0.039388145,0.034195121,0.115654734,-5.11E-05,0.023365195,-0.005514525,0.019033118,0.021819299,0.002936288,6.91E-05,-0.013406121,0.000136444,0,0.031917336,-0.054080629,0,0.014605263,-0.00319098,-0.010421899,-0.004856094,-0.000457068,0.211314375,-0.0003361,-0.493421053,0.005098789,1.35E-05
1/5/2000,1,-0.003730018,-0.00960334,-0.00750469,-0.036697248,-0.041206443,-0.036589956,-0.041906164,-0.0061896,0.148051381,-0.038344668,-0.028827223,-0.014133087,0.001922183,0.075817641,-0.031752231,-0.011890683,-0.004349019,0.01134038,0.138829728,-0.023919429,-0.025092633,-0.018669926,-0.012886141,-0.006426575,-0.006426575,-0.006426575,-0.006426575,-0.040134614,-0.040134614,-0.073524544,-0.071815937,0.121892497,0.066961001,0.042338752,-0.022213995,-2.12E-05,0.003962207,-0.002619071,0.008657176,0.00946854,0,-6.89E-05,-0.001207744,6.93E-05,0,0.015614237,0.121253274,0,0.020526316,0.000105742,-0.000882279,-0.001794258,0.000410846,0.181433323,-5.37E-05,0.128493415,-0.000980392,3.23E-05
1/6/2000,1,-0.003743983,-0.007166948,-0.030245747,-0.011904762,-0.005165633,-0.01413022,-0.005154128,-0.038790097,-0.079133706,0.001922183,-0.00096938,0.010466815,0.000955678,0.006264394,0.011283631,0.00876948,0.01460692,0.011742649,-0.131108814,-0.012815339,-0.007066671,0.002147428,-0.004175578,0.008035159,0.008035159,0.008035159,0.008035159,-0.040128755,-0.038385078,-0.058929858,-0.043762323,-0.046461758,-0.078965552,-0.044487389,-0.025747823,-1.76E-05,-0.001679389,-0.002515723,0.011603172,-0.009747182,0.002855603,-6.89E-05,0.000543491,6.94E-05,0,0.0326062,0.11082201,0,0.008421053,0.000524384,0.001827347,0.001197175,0.001565074,0,1.92E-05,0.611876852,0.016883117,-3.23E-05
1/7/2000,1,0.009663565,-0.008492569,-0.003898635,0.012048193,-0.032168936,0.003595445,-0.001219185,0.041718491,0.022905301,0.000955678,0.020943372,0.00619927,0.0270904,0.121669871,0.012029605,0.018976479,0.0127468,0.023930826,0.047295384,-0.001770413,0.038569776,0.010544144,0.047265455,0,0,0,0,-0.038434812,-0.028623114,0.023352816,0.016656475,-0.057721177,-0.057656273,-0.120647849,-0.155849242,1.41E-05,-0.004587156,0.001452925,-0.017687075,-0.005462822,-0.003586957,-0.000205888,0.001932437,-2.77E-05,0,-0.000459242,-0.08080616,0,-0.012368421,0.002717675,0.005982368,-0.00274873,-0.000493421,0.120084059,0.000113777,-0.579150579,-0.01007874,1.33E-05
1/10/2000,0,-0.001772421,-0.0248394,0.001956947,0.004761905,0.078451314,0.048855604,0.066756663,0.043025019,0.034729316,0.0270904,0.015879633,0.029084828,0.011189969,-0.130917401,0.02537738,0.009554067,0.026028704,0.004308125,-0.090427258,0.045536673,0.027052812,0.048736205,0.021318524,0.045445575,0.045445575,0.045445575,0.045445575,0.019678614,0.035529464,0.034566063,0.028724597,-0.129276059,-0.106475963,-0.016574494,-0.000460405,2.29E-05,-0.006414172,0.000777152,-0.001937984,-0.007324219,0.003440743,0,0.003079933,2.77E-05,0,0.002525832,-0.042787867,0,-0.019736842,0.006092437,0.00426814,0.002317291,-0.000115569,0.090225564,0.000110731,-0.012801639,-0.000972447,2.68E-05
1/11/2000,0,0.002308239,0.050944225,0.001953125,0.002369668,0.007283415,-0.001399728,-0.013642922,-0.031726038,0.001625574,0.011189969,-0.003892452,-0.00489079,-0.013062512,-0.04770849,0.003120687,0.002132561,-0.002582295,-0.005281633,0.054227613,0.020716298,-0.004505881,0.005274439,-0.004948368,-0.02290564,-0.02290564,-0.02290564,-0.02290564,0.022399711,0.008154327,0.006728291,0.00088018,0.004111512,0.006224944,0.015449437,0.036388809,2.47E-05,0.010669105,-0.000390168,0.020510836,0.002137535,0.000109951,6.86E-05,-0.004831268,0,0.006427975,0.018599311,0.128229483,0,0.009868421,-0.005823187,-0.006480558,0.001597822,0.001184893,0.030087857,-0.000135061,0,0.011028219,5.37E-06
1/12/2000,1,0,0.028834099,0,0,-0.019950968,-0.028445932,-0.018000839,-0.018150083,-0.09947712,-0.013062512,-0.011010145,-0.005117112,-0.004386372,-0.038856016,-0.005336856,-0.004335841,0.000215557,0.003476609,0.094529047,-0.006803327,-0.004367918,-0.005576617,0.003128614,-0.003076027,-0.003076027,-0.003076027,-0.003076027,-0.01810882,-0.027911045,-0.012105868,-0.009324075,0.048680573,0.038002697,0.033194973,0.015111111,5.29E-06,-0.006235741,0.002034489,-0.002904725,0.007584951,-0.001097394,6.86E-05,0.002657165,2.77E-05,0,-0.007568807,-0.023564898,0,0.008552632,0.000843659,0.002635211,-0.002560438,0,0,7.50E-05,-0.019224607,-0.002270516,1.60E-05
1/13/2000,1,-0.000531444,0.011372868,-0.009746589,0.004728132,-0.009063658,0.001642628,0.006178056,0.027841398,-0.032066322,-0.004386372,0.00804102,0.003622813,0.012169701,0.057254258,0.00447649,0.0037933,0.001645403,0.002712303,-0.09868082,0.004973159,0.027909191,0.017022848,0.006244916,0.011854884,0.011854884,0.011854884,0.011854884,0.004558407,0.007439633,-0.005598989,-0.005106225,-0.013882821,-0.01660281,-0.048639,-0.04947465,0.00019224,-0.001672241,0.005349674,0.003278689,-0.012754327,-0.002997275,0.000137457,0.001932461,1.38E-05,-0.006427809,0.007568807,-0.085098336,0,-0.001315789,-0.003625854,-0.00012536,-0.00136612,0.000164785,0,6.41E-05,0,-0.001623377,1.86E-05
1/14/2000,1,0.004253811,0.024096386,0.001968504,0.021176471,0.033352596,0.033981301,0.04859754,0.02705443,0.121640927,0.012169701,0.012928105,0.012169701,0.010671299,0.053862578,0.005287083,0.008038395,0.007672603,0.012134827,0.525527414,0.006821824,0.01421244,0.008929246,0.031230716,0,0,0,0,-0.00137787,0.000145673,-0.008826102,-0.005867323,-0.12758469,-0.127705628,-0.084896811,-0.09442649,-3.88E-05,-0.021235233,-0.002726388,-0.024618321,-0.005460502,0.000110254,-6.90E-05,0.011473707,1.38E-05,0,-0.005281286,-0.09897257,0,-0.014473684,0.00573081,0.007176582,0.002138529,0.000858511,0,0.000324472,0.019099764,0.001948052,-5.33E-05
1/17/2000,0,0.007236145,0.019215686,0.00589391,0.002304147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031204151,0.012430172,0.021935893,0.011944383,0.004044456,0.004044456,0.004044456,0.004044456,-0.004794986,-0.002267516,0.009933255,0.002080081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
