Date,Movement,Open,High,Low,Close,Volume,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,trend_macd,trend_macd_signal,trend_macd_diff,momentum_rsi
948344400,0,1455.900024,1465.709961,1438.540039,1445.569946,1100700000,1484.174544,1392.982382,1438.578463,0,0,3.505347572,2.65214716,0.853200413,49.39918901
948430800,0,1445.569946,1453.180054,1439.599976,1441.359985,1209800000,1482.609664,1394.944622,1438.777143,0,0,2.864838206,2.696642285,0.168195921,46.57679499
948690000,1,1441.359985,1454.089966,1395.420044,1401.530029,1115800000,1482.705361,1389.882644,1436.294002,0,0,-0.018328622,2.133846487,-2.152175109,28.68554737
948776400,0,1401.530029,1414.26001,1388.48999,1410.030029,1073700000,1481.373616,1387.931392,1434.652504,0,0,-1.690305244,1.346864569,-3.037169813,34.84802839
948862800,0,1410.030029,1412.72998,1400.160034,1404.089966,1117300000,1480.45948,1385.249935,1432.854708,0,0,-3.312042078,0.393618036,-3.705660114,32.57804298
948949200,0,1404.089966,1418.859985,1370.98999,1398.560059,1129500000,1479.88071,1382.018189,1430.949449,0,0,-4.862030846,-0.67679458,-4.185236266,30.44758768
949035600,1,1398.560059,1398.560059,1356.199951,1360.160034,1095800000,1484.810412,1369.636969,1427.223691,0,0,-8.457389953,-2.255667613,-6.20172234,19.97908426
949294800,1,1360.160034,1394.47998,1350.140015,1394.459961,993800000,1483.519815,1367.651193,1425.585504,0,0,-8.890627023,-3.598137114,-5.292489909,40.91594622
949381200,0,1394.459961,1412.48999,1384.790039,1409.280029,981000000,1479.903493,1366.673521,1423.288507,0,0,-8.138314788,-4.514625765,-3.623689023,47.73360868
949467600,1,1409.280029,1420.609985,1403.48999,1409.119995,1038600000,1479.689433,1367.857576,1423.773505,0,0,-7.469630107,-5.110019866,-2.359610241,47.6650795
949554000,0,1409.119995,1425.780029,1398.52002,1424.969971,1146500000,1479.89459,1369.938418,1424.916504,0,0,-5.78566471,-5.245951232,-0.539713478,55.04123207
949640400,0,1424.969971,1435.910034,1420.630005,1424.369995,1045100000,1480.009086,1371.915927,1425.962506,0,0,-4.450723066,-5.086150963,0.635427898,54.70447683
949899600,1,1424.369995,1427.150024,1413.329956,1424.23999,918100000,1478.653829,1371.548185,1425.101007,0,0,-3.3693277,-4.741484197,1.372156496,54.62092435
949986000,0,1424.23999,1441.829956,1424.23999,1441.719971,1047700000,1476.278549,1372.335464,1424.307007,0,0,-1.260646895,-4.043206321,2.782559426,63.31387364
950072400,1,1441.719971,1444.550049,1411.650024,1411.709961,1050500000,1474.772722,1371.156282,1422.964502,0,0,-1.730128249,-3.57946946,1.849341211,45.89703809
950158800,0,1411.699951,1422.099976,1406.430054,1416.829956,1058800000,1473.878698,1370.508301,1422.1935,0,0,-1.709928128,-3.204836548,1.49490842,48.67636163
950245200,1,1416.829956,1416.829956,1378.890015,1387.119995,1025700000,1471.315726,1366.815267,1419.065497,0,0,-3.815970926,-3.327252853,-0.488718072,36.21881006
950504400,1,1387.119995,1394.930054,1380.530029,1389.939941,927300000,1464.315405,1366.294581,1415.304993,0,0,-5.210976407,-3.70446453,-1.506511877,37.95776619
950590800,0,1389.939941,1407.719971,1376.25,1402.050049,1092100000,1458.205631,1367.095358,1412.650494,0,0,-5.354442144,-4.034787188,-1.319654956,45.34199159
950677200,1,1402.050049,1404.550049,1385.579956,1387.670044,1018800000,1451.237164,1367.240827,1409.238995,0,0,-6.463113864,-4.520837612,-1.942276252,38.98471874
950763600,0,1387.670044,1399.880005,1380.069946,1388.26001,1034800000,1445.667874,1367.079123,1406.373499,0,0,-7.211317216,-5.059274808,-2.152042408,39.38702033
950850000,1,1388.26001,1388.589966,1345.319946,1346.089966,1042300000,1445.835398,1357.384597,1401.609998,0,1,-10.85315903,-6.218639521,-4.634519513,25.51305569
951195600,1,1346.089966,1358.109985,1331.880005,1352.170044,980000000,1448.587217,1349.696779,1399.141998,0,0,-13.12110677,-7.599693193,-5.521413577,29.63639022
951282000,0,1352.170044,1370.109985,1342.439941,1360.689941,993700000,1448.689628,1344.66036,1396.674994,0,0,-14.10336693,-8.900850189,-5.202516738,35.41682987
951368400,0,1360.689941,1364.800049,1329.880005,1353.430054,1215000000,1449.465072,1338.818924,1394.141998,0,0,-15.25796415,-10.17260315,-5.085361005,32.7699628
951454800,1,1353.430054,1362.140015,1329.150024,1333.359985,1065200000,1452.441437,1329.322552,1390.881995,0,0,-17.5081467,-11.64001663,-5.868130073,26.46173141
951714000,1,1333.359985,1360.819946,1325.069946,1348.050049,1026500000,1453.328416,1327.224574,1390.276495,0,0,-17.94977794,-12.9021786,-5.04759934,36.74536817
951800400,1,1348.050049,1369.630005,1348.050049,1366.420044,1204300000,1452.775994,1324.973005,1388.8745,0,0,-16.68610344,-13.65906418,-3.027039264,47.36564607
951886800,1,1366.420044,1383.459961,1366.420044,1379.189941,1274100000,1450.662614,1324.077377,1387.369995,0,0,-14.52682593,-13.83263499,-0.69419094,53.61261952
951973200,1,1379.189941,1386.560059,1370.349976,1381.76001,1198600000,1448.492871,1323.511121,1386.001996,0,0,-12.47227811,-13.56054046,1.088262352,54.85684075
952059600,0,1381.76001,1410.880005,1381.76001,1409.170044,1150300000,1446.00508,1324.418919,1385.212,0,0,-8.608012918,-12.56996754,3.961954621,66.05964676
