Date,Open,High,Low,Close,Volume
3/22/2000,3248.800049,3248.800049,3248.800049,3248.800049,0
3/23/2000,3251.5,3251.5,3251.5,3251.5,0
3/27/2000,3227.899902,3227.899902,3227.899902,3227.899902,0
3/28/2000,3230.199951,3230.199951,3230.199951,3230.199951,0
3/29/2000,3225.899902,3225.899902,3225.899902,3225.899902,0
3/30/2000,3194.100098,3194.100098,3194.100098,3194.100098,0
3/31/2000,3133.300049,3133.300049,3133.300049,3133.300049,0
4/3/2000,3133.800049,3191,3133.800049,3191,0
4/4/2000,3197.199951,3199,3170.699951,3176.800049,0
4/5/2000,3176.5,3176.5,3144,3155.399902,0
4/6/2000,3153.5,3167.5,3138.300049,3157.100098,0
4/7/2000,3158.300049,3192.199951,3157.199951,3182,0
4/10/2000,3181.899902,3201.399902,3178.899902,3201.399902,0
4/11/2000,3198,3198,3163,3173,0
4/12/2000,3171.300049,3171.600098,3140.100098,3148.699951,0
4/13/2000,3142.800049,3143.800049,3089,3099.699951,0
4/14/2000,3096.699951,3114.300049,3074.399902,3111.899902,0
4/17/2000,3108.100098,3108.100098,2902.100098,2943.899902,0
4/18/2000,2953.199951,3032.699951,2953,3010.300049,0
4/19/2000,3019,3069.300049,3018.699951,3069.199951,0
4/20/2000,null,null,null,null,null
4/21/2000,null,null,null,null,null
4/24/2000,null,null,null,null,null
4/25/2000,null,null,null,null,null
4/26/2000,3070.800049,3127.100098,3070.800049,3117.300049,0
4/27/2000,3114.800049,3114.800049,3090.100098,3106.300049,0
4/28/2000,3106.800049,3119.100098,3086.5,3115.800049,0
5/1/2000,3115.800049,3124.399902,3102,3102,0
5/2/2000,3116.100098,3131.899902,3116,3131.100098,0
5/3/2000,3129.600098,3130.600098,3103.699951,3107.5,0
5/4/2000,3104.399902,3104.399902,3049.600098,3053.800049,0
5/5/2000,3053.699951,3107.199951,3053.699951,3107.199951,0
5/8/2000,3111.100098,3123.300049,3103.699951,3106.199951,0
5/9/2000,3104.699951,3108.300049,3086.100098,3086.100098,0
5/10/2000,3083.399902,3083.399902,3033.699951,3043.399902,0
5/11/2000,3040.699951,3040.699951,2989,2996.399902,0
5/12/2000,3000.199951,3044.300049,3000.199951,3034.800049,0
5/15/2000,3034.399902,3058.300049,3034,3051.100098,0
5/16/2000,3052.600098,3090.399902,3052.600098,3089.199951,0
5/17/2000,3091.800049,3091.800049,3067.899902,3074.800049,0
5/18/2000,3070.5,3071.300049,3041.899902,3044.899902,0
5/19/2000,3046.800049,3053.100098,3033.399902,3039.100098,0
5/22/2000,3033.5,3033.5,2995.899902,3002.300049,0
5/23/2000,3005.100098,3021.399902,3002.399902,3021.399902,0
5/24/2000,3016.399902,3017.399902,2985.699951,3009.5,0
5/25/2000,3010.600098,3031.100098,3010.600098,3018.100098,0
5/26/2000,3012.899902,3013.300049,2997.199951,3000.699951,0
5/29/2000,3000.600098,3035.100098,2999.399902,3035.100098,0
5/30/2000,3033.800049,3050.600098,3033.800049,3050.600098,0
5/31/2000,3050.699951,3105,3050.699951,3081,0
6/1/2000,3079.5,3088.199951,3067.100098,3088,0
6/2/2000,3088.399902,3143.699951,3088.399902,3140.899902,0
6/5/2000,3141.699951,3169,3141.699951,3148.800049,0
6/6/2000,3148.100098,3151.899902,3133.100098,3149.899902,0
6/7/2000,3150.399902,3151.5,3112.600098,3112.600098,0
6/8/2000,3111,3133.100098,3110.699951,3126.699951,0
6/9/2000,3121,3153.899902,3116.800049,3146.5,0
6/12/2000,null,null,null,null,null
6/13/2000,3141.800049,3142.199951,3106.899902,3113.800049,0
6/14/2000,3113.899902,3118.199951,3103.899902,3118.199951,0
6/15/2000,3119.199951,3147.699951,3119.199951,3133.100098,0
6/16/2000,3131.800049,3144.399902,3124.399902,3140.800049,0
6/19/2000,3136.300049,3151.100098,3119.800049,3151.100098,0
6/20/2000,3151,3157.300049,3142.399902,3155.199951,0
6/21/2000,3154.300049,3178.399902,3140.699951,3178.399902,0
6/22/2000,3178.5,3186.100098,3164.300049,3173.600098,0
6/23/2000,3177.100098,3177.100098,3155.399902,3177.100098,0
6/26/2000,3171.800049,3182.699951,3163.399902,3177.800049,0
6/27/2000,3178.899902,3192.800049,3171.600098,3190.100098,0
6/28/2000,3190.199951,3213.899902,3187.300049,3213.899902,0
6/29/2000,3211.800049,3254.5,3211.800049,3254.5,0
6/30/2000,3254.399902,3313.800049,3227.399902,3311.199951,0
7/3/2000,3304,3317,3280.300049,3308.100098,0
7/4/2000,3307.199951,3326.899902,3297.699951,3310.100098,0
7/5/2000,3306.800049,3321.100098,3296.300049,3320.5,0
7/6/2000,3313.399902,3315,3290.800049,3306.899902,0
7/7/2000,3308.199951,3326,3305.300049,3305.300049,0
7/10/2000,3308.699951,3334.800049,3308.300049,3323.800049,0
7/11/2000,3323.100098,3326.100098,3307.899902,3323.300049,0
7/12/2000,3326.600098,3337.399902,3314.800049,3318.399902,0
7/13/2000,3318.100098,3329,3296.100098,3306.5,0
7/14/2000,3305,3308.100098,3295.800049,3303.5,0
7/17/2000,3302.899902,3320.100098,3296.5,3313.399902,0
7/18/2000,3311.5,3316.399902,3294.100098,3300.600098,0
7/19/2000,3297.399902,3313.699951,3284.300049,3299.600098,0
7/20/2000,3296.5,3304.699951,3289.199951,3300.899902,0
7/21/2000,3305.5,3335.5,3305,3332.300049,0
7/24/2000,3327.300049,3328,3303.699951,3305.399902,0
7/25/2000,3303.699951,3304,3277.300049,3282.100098,0
7/26/2000,3283.5,3294.399902,3274.199951,3282.899902,0
7/27/2000,3278.899902,3279.100098,3253.300049,3258.199951,0
7/28/2000,3258.600098,3258.600098,3248.800049,3255,0
7/31/2000,3250,3257.699951,3227.300049,3251.100098,0
8/1/2000,3251.399902,3262.399902,3245.100098,3254,0
8/2/2000,3252.800049,3270.699951,3241,3270.300049,0
8/3/2000,3270.199951,3279.600098,3267.100098,3275.100098,0
8/4/2000,3275.899902,3283.699951,3267.600098,3277.199951,0
8/7/2000,3278.300049,3306.699951,3278.300049,3305,0
8/8/2000,3306.399902,3317.699951,3301.100098,3302.300049,0
8/9/2000,3301.699951,3312.699951,3298.399902,3309.800049,0
8/10/2000,3309.300049,3315.300049,3304.800049,3315.300049,0
8/11/2000,3313.199951,3315.699951,3300.699951,3309.100098,0
8/14/2000,3310.300049,3323,3310.300049,3314.899902,0
8/15/2000,3315,3327.699951,3310.600098,3323.100098,0
8/16/2000,3321.399902,3339,3320.5,3331.800049,0
8/17/2000,3331.699951,3350.100098,3328.100098,3336.300049,0
8/18/2000,3337.600098,3348.399902,3335.399902,3344.199951,0
8/21/2000,3341.300049,3344.800049,3333.5,3338.899902,0
8/22/2000,3339,3356.600098,3334.699951,3353.399902,0
8/23/2000,3353,3369.699951,3352.800049,3364.399902,0
8/24/2000,3366.300049,3386.600098,3361.300049,3372.399902,0
8/25/2000,3370.600098,3377.199951,3360.699951,3367.399902,0
8/27/2000,3366.600098,3383.199951,3363.899902,3363.899902,0
8/28/2000,3363.300049,3379.399902,3363,3369.399902,0
8/29/2000,3367.300049,3378,3345.899902,3357.800049,0
8/30/2000,3353.100098,3353.199951,3297.800049,3297.800049,0
8/31/2000,3299.300049,3335.399902,3299.300049,3331.699951,0
9/3/2000,3325,3348,3325,3347.300049,0
9/4/2000,3337.5,3356,3336.600098,3347.300049,0
9/5/2000,3347.399902,3347.800049,3314.300049,3321.199951,0
9/6/2000,3321.300049,3321.399902,3296,3306.600098,0
9/7/2000,3307.5,3325.199951,3307.100098,3320.300049,0
9/10/2000,3317.899902,3317.899902,3296.300049,3297.100098,0
9/11/2000,3298.800049,3326.5,3298.300049,3324,0
9/12/2000,3322.600098,3344.100098,3314.600098,3334.100098,0
9/13/2000,3335.699951,3353.600098,3330.300049,3344.600098,0
9/14/2000,3343.100098,3356.5,3321.100098,3329.800049,0
9/17/2000,3324.199951,3324.800049,3271.399902,3276.399902,0
9/18/2000,3272.800049,3272.800049,3223.399902,3236.699951,0
9/19/2000,3235.300049,3254.699951,3235.300049,3254.699951,0
9/20/2000,3252,3256.899902,3243.5,3252.800049,0
9/21/2000,3246.100098,3246.100098,3176.199951,3188.600098,0
9/24/2000,3189.399902,3224.699951,3189.300049,3215.300049,0
9/25/2000,3215.100098,3242.399902,3201.199951,3241.100098,0
9/26/2000,3237,3263.899902,3229.699951,3256.300049,0
9/27/2000,3256.600098,3292.899902,3256.600098,3290.699951,0
9/28/2000,3289.300049,3302.199951,3282.5,3298.800049,0
10/1/2000,3297.399902,3304.5,3282,3300.600098,0
10/2/2000,3299.100098,3330.699951,3285.699951,3327.699951,0
10/3/2000,3327,3327.699951,3307.699951,3318.600098,0
10/4/2000,3317.800049,3318.399902,3298.699951,3311.300049,0
10/5/2000,3284.100098,3295,3278,3293.5,0
10/8/2000,3274,3284.5,3266.600098,3274.300049,0
10/9/2000,3273.5,3284.699951,3260.5,3265.199951,0
10/10/2000,3264,3265.5,3244.399902,3260.699951,0
10/11/2000,3257.800049,3257.800049,3222.300049,3226.5,0
10/12/2000,3221.300049,3221.800049,3186.100098,3201.899902,0
10/15/2000,3203.399902,3266.600098,3203.100098,3266.600098,0
10/16/2000,3263.899902,3270.399902,3251.300049,3264.199951,0
10/17/2000,3259.399902,3259.399902,3216.600098,3226.699951,0
10/18/2000,3222.800049,3224.199951,3180.699951,3192.699951,0
10/19/2000,3195.5,3247,3195.100098,3235.800049,0
10/22/2000,3235.100098,3269.699951,3231.800049,3267.899902,0
10/23/2000,3268.100098,3272.699951,3258.300049,3260.699951,0
10/24/2000,3258.800049,3264.300049,3248,3264.300049,0
10/25/2000,3262.199951,3262.199951,3234.699951,3239.699951,0
10/26/2000,3239.300049,3262.899902,3238,3244.699951,0
10/29/2000,3245.800049,3269,3245.800049,3264.399902,0
10/30/2000,3264.199951,3268.699951,3250.699951,3254.600098,0
10/31/2000,3256.5,3287.100098,3256,3276.800049,0
11/1/2000,3274.300049,3293.399902,3260.399902,3289.300049,0
11/2/2000,3288.100098,3321.899902,3288.100098,3321.899902,0
11/5/2000,3323.199951,3345,3314.5,3334.800049,0
11/6/2000,3334.100098,3381,3334.100098,3372.899902,0
11/7/2000,3369.899902,3370,3348.800049,3354.199951,0
11/8/2000,3351.600098,3351.600098,3312.899902,3333.5,0
11/9/2000,3332,3332.5,3293.199951,3300.899902,0
11/12/2000,3298.300049,3313.600098,3286.5,3290.800049,0
11/13/2000,3290.100098,3299.699951,3273.5,3291.5,0
11/14/2000,3294.399902,3321.300049,3293.5,3320.399902,0
11/15/2000,3318.100098,3319.399902,3298.800049,3302.5,0
11/16/2000,3301.199951,3331.699951,3293.5,3329.100098,0
11/19/2000,3324.199951,3331.100098,3319.699951,3325.100098,0
11/20/2000,3323.100098,3323.100098,3298.300049,3301.100098,0
11/21/2000,3299.899902,3308.800049,3284.5,3284.699951,0
11/22/2000,3284.5,3284.5,3265.5,3281.199951,0
11/23/2000,3281.5,3290.399902,3273.100098,3280.600098,0
11/26/2000,3281.100098,3303.199951,3281.100098,3303.199951,0
11/27/2000,3305.899902,3311.399902,3294,3306.199951,0
11/28/2000,3302.100098,3302.300049,3271,3275.600098,0
11/29/2000,3275,3295.199951,3272.399902,3274.600098,0
