Date,Open,High,Low,Close,Adj Close,Volume
1/3/2000,18937.44922,19187.60938,18937.44922,19002.85938,19002.85938,0
1/4/2000,18937.44922,19187.60938,18937.44922,19002.85938,19002.85938,0
1/5/2000,19003.50977,19003.50977,18221.82031,18542.55078,18542.55078,0
1/6/2000,18574.00977,18582.74023,18168.26953,18168.26953,18168.26953,0
1/7/2000,18194.05078,18285.73047,18068.09961,18193.41016,18193.41016,0
1/10/2000,null,null,null,null,null,null
1/11/2000,18246.09961,18887.56055,18246.09961,18850.91992,18850.91992,0
1/12/2000,18780.16992,18811.86914,18626.91992,18677.41992,18677.41992,0
1/13/2000,18667.17969,18845.0293,18667.17969,18833.28906,18833.28906,0
1/14/2000,18882.99023,19058.01953,18733.83008,18956.55078,18956.55078,0
1/17/2000,19025.61914,19442.58008,19025.61914,19437.23047,19437.23047,0
1/18/2000,19412.4707,19412.4707,19145.16992,19196.57031,19196.57031,0
1/19/2000,19181.86914,19181.86914,18897.75,18897.75,18897.75,0
1/20/2000,18930.25977,19167.0293,18921.10938,19008.00977,19008.00977,0
1/21/2000,18994.89063,18994.89063,18713.16992,18878.08984,18878.08984,0
1/24/2000,18878.46094,19124.57031,18877.13086,19056.71094,19056.71094,0
1/25/2000,19004.39063,19131.18945,18815.36914,18895.5293,18895.5293,0
1/26/2000,18982.83984,19145.90039,18982.83984,19111.18945,19111.18945,0
1/27/2000,19125.61914,19238.08008,18971.67969,19209.7207,19209.7207,0
1/28/2000,19261.00977,19595.83008,19237.49023,19434.7793,19434.7793,0
1/31/2000,19375.10938,19539.69922,19224.4707,19539.69922,19539.69922,0
2/1/2000,19536.67969,19553.67969,19266.96094,19423.38086,19423.38086,0
2/2/2000,19522.33008,19860.25977,19522.33008,19578.91016,19578.91016,0
2/3/2000,19648.34961,19878.83008,19648.34961,19786.41992,19786.41992,0
2/4/2000,19866.18945,20011.91016,19752.11914,19763.13086,19763.13086,0
2/7/2000,19832.75977,19948.59961,19780.56055,19945.42969,19945.42969,0
2/8/2000,19955.30078,19983.43945,19834.81055,19868.88086,19868.88086,0
2/9/2000,19930.41016,20046.14063,19925.64063,20007.76953,20007.76953,0
