Date,Movement,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
948171600,1,1465.150024,1465.150024,1451.300049,1455.140015,1056700000,-115923414,2529800000,0.055688157,143596974.3,-1.21E-07,4368514.667,986.8154002,22.50359433,1484.676993,1388.05938,1436.368186,0,0,1434.293339,1461.862321,1406.724357,0,0,1465.150024,1399.420044,0,0,3.748633384,1.99887781,1.749755574,1443.40784,1439.659206,0,0,0,1,1,0,0.030563708,9.788410201,74.49630329,100.9097757,-65.8438815,-71.98882853,6.144947031,1426.590027,1427.840027,1529.667602,1518.369925,40,8,32,56.29428323,56.72756523,-62.40819903,54.21401976,77.21292135,78.72476692,-22.78707865,12.45536885,-0.683207101,-0.685551645,-0.005494427
948258000,0,1455.140015,1461.390015,1448.680054,1455.900024,1087800000,-322687927.6,3617600000,0.062599606,-17575000,-1.13E-07,-6651299.44,986.8154002,21.80404909,1485.416792,1390.574887,1437.99584,0,0,1438.090007,1461.150993,1415.02902,0,0,1465.150024,1399.420044,0,0,3.974262403,2.423107576,1.551154827,1445.628909,1441.654647,0,0,0,1,1,0,0.045341513,10.54678563,62.94465134,17.2241315,-62.28299126,-70.35426362,8.071272358,1430.195008,1427.840027,1529.667602,1518.369925,40,8,32,56.70651769,60.49210216,-59.55614106,47.72126452,77.97050648,80.7914779,-22.02949352,12.5996684,0.052229269,0.052215635,0.046731973
948344400,0,1455.900024,1465.709961,1438.540039,1445.569946,1100700000,-383050191.9,2516900000,0.018989652,-421083036,-1.10E-07,-7241669.82,986.8154002,22.18732573,1484.174544,1392.982382,1438.578463,0,0,1443.315336,1465.534318,1421.096354,0,0,1465.150024,1399.420044,0,0,3.505347572,2.65214716,0.853200413,1445.618671,1442.113323,0,0,0,1,1,0,0.0537666,11.3892493,41.69431034,-39.15841908,-59.52862687,-68.13418307,8.605556202,1432.352509,1427.840027,1529.667602,1518.369925,40,8,32,49.39918901,55.61457921,-57.31281017,42.59593243,67.67337375,74.28560053,-32.32662625,14.96500901,-0.709532099,-0.712061249,-0.663131705
948430800,0,1445.569946,1453.180054,1439.599976,1441.359985,1209800000,-1427327229,1307100000,-0.042418506,-1773884758,-1.06E-07,-11333143.49,986.8154002,21.57252232,1482.609664,1394.944622,1438.777143,0,0,1447.538338,1469.135323,1425.941353,0,0,1465.150024,1399.420044,0,0,2.864838206,2.696642285,0.168195921,1444.893553,1442.028714,0,0,0,0.887592924,1,0.112407076,0.05714161,12.2021568,21.60585541,-36.66715821,-57.10323344,-66.02653016,8.923296721,1438.940003,1427.840027,1529.667602,1518.369925,40,8,32,46.57679499,51.10209571,-55.46551818,43.21335437,63.47683939,69.70690654,-36.52316061,15.07194481,-0.291231912,-0.291656818,-0.952432366
948690000,1,1441.359985,1454.089966,1395.420044,1401.530029,1115800000,-1779611734,191300000,-0.094398812,-665002746.7,-1.80E-07,-34356887.37,959.5461445,24.22233658,1482.705361,1389.882644,1436.294002,0,0,1446.450676,1469.840653,1423.060698,0,0,1465.150024,1399.420044,0,0,-0.018328622,2.133846487,-2.152175109,1437.62942,1437.647749,0,0,0,0.889278598,1.061652448,0.17237385,0.049020462,13.30340299,-79.70879397,-32.84405127,-58.70224111,-64.54546225,5.843221138,1431.025025,1427.840027,1529.667602,1518.369925,40,8,32,28.68554737,50.57781663,-54.45484979,36.90824981,25.0209699,52.05706101,-74.9790301,8.741345267,-2.763359356,-2.80225842,-3.689472593
948776400,0,1401.530029,1414.26001,1388.48999,1410.030029,1073700000,-162179126.8,1265000000,-0.046457661,4264007012,-8.99E-08,-24321787.41,965.3656004,24.3328854,1481.373616,1387.931392,1434.652504,0,0,1441.429012,1465.106991,1417.751034,0,0,1465.150024,1399.420044,0,0,-1.690305244,1.346864569,-3.037169813,1433.068403,1434.758708,0,20,20,0.974873331,1.115120808,0.140247477,0.036770428,14.36688629,-112.342189,6.817467062,-59.80697943,-63.31120356,3.504224128,1429.292511,1427.840027,1529.667602,1518.369925,40,8,32,34.84802839,57.30101638,-53.19375207,40.80579183,33.93830605,40.81203845,-66.06169395,-0.304307475,0.606480049,0.60464836,-3.10536846
948862800,0,1410.030029,1412.72998,1400.160034,1404.089966,1117300000,302555007.4,147700000,-0.066526065,3839905.5,-1.36E-08,1804903.198,965.3656004,23.49267544,1480.45948,1385.249935,1432.854708,0,0,1437.607007,1460.117981,1415.096033,0,0,1465.150024,1399.420044,0,0,-3.312042078,0.393618036,-3.705660114,1428.333521,1431.645563,0,20,20,1.06755212,1.001622815,0.065929305,0.021788887,15.32220005,-96.98580206,24.74526841,-58.64504935,-61.98387724,3.338827886,1429.292511,1427.840027,1529.667602,1518.369925,40,8,32,32.57804298,50.23212822,-52.18797327,37.36290475,18.45932334,25.80619976,-81.54067666,-8.2696476,-0.421272092,-0.422161943,-3.513558501
948949200,0,1404.089966,1418.859985,1370.98999,1398.560059,1129500000,-247123105.6,-981800000,-0.053813677,-640024326,-5.69E-08,-9155327.319,965.3656004,25.23391255,1479.88071,1382.018189,1430.949449,0,0,1433.82301,1459.568982,1408.077039,0,0,1465.150024,1398.560059,0,0,-4.862030846,-0.67679458,-4.185236266,1423.514743,1428.376774,0,20,20,0.941499233,0.980712301,0.039213068,0.005111409,16.42961975,-115.022621,7.610609667,-57.60032714,-60.70847694,3.108149804,1423.244995,1424.494995,1529.667602,1518.369925,40,72,-32,30.44758768,43.14685119,-51.38721406,41.55637526,27.02682707,26.47481882,-72.97317293,-17.51172424,-0.393842783,-0.394620386,-3.893563388
949035600,1,1398.560059,1398.560059,1356.199951,1360.160034,1095800000,-719375616.6,-2077600000,-0.094395258,944493538,-1.51E-07,-34535647.93,938.8597218,26.45721223,1484.810412,1369.636969,1427.223691,0,0,1426.449345,1454.236332,1398.662358,0,0,1465.150024,1360.160034,0,0,-8.457389953,-2.255667613,-6.20172234,1413.342303,1421.799693,0,20,20,0.877148322,1.118382018,0.241233696,-0.018285569,17.58779726,-165.7396789,5.026309368,-59.62319633,-59.90405849,0.280862161,1414.027466,1417.099976,1529.667602,1518.369925,40,76,-36,19.97908426,35.57271377,-51.20255552,34.65353279,3.390480598,16.29221034,-96.6095194,-28.42374086,-2.745682944,-2.784081315,-6.532341426
949294800,1,1360.160034,1394.47998,1350.140015,1394.459961,993800000,101986845.9,-1083800000,-0.043837316,556383298.6,-2.16E-07,-5025975.46,962.5354799,27.73455171,1483.519815,1367.651193,1425.585504,0,0,1418.157674,1448.046663,1388.268685,0,0,1465.150024,1360.160034,0,0,-8.890627023,-3.598137114,-5.292489909,1410.330721,1419.221348,0,20,20,0.762111888,1.182017195,0.419905307,-0.038535435,18.77649523,-127.0856288,24.09454985,-61.54533131,-59.42644181,-2.118889506,1410.997498,1414.070008,1529.667602,1518.369925,40,76,-36,40.91594622,35.04095786,-49.67010907,44.14922244,36.07354014,22.16361594,-63.92645986,-36.05825515,2.521756716,2.490485071,-4.175314469
