Date,Price
5/18/2001,616
5/21/2001,620
5/22/2001,618
5/23/2001,615
5/24/2001,620
5/25/2001,619
5/28/2001,
5/29/2001,625
5/30/2001,618
5/31/2001,610
6/1/2001,598
6/4/2001,596
6/5/2001,587
6/6/2001,588
6/7/2001,593
6/8/2001,595
6/11/2001,589
6/12/2001,583
6/13/2001,580
6/14/2001,580
6/15/2001,585
6/18/2001,582
6/19/2001,582
6/20/2001,585
6/21/2001,583
6/22/2001,576
6/25/2001,576
6/26/2001,572
6/27/2001,570
6/28/2001,564
6/29/2001,561
7/2/2001,563
7/3/2001,558
7/4/2001,561
7/5/2001,558
7/6/2001,553
7/9/2001,560
7/10/2001,557
7/11/2001,562
7/12/2001,562
7/13/2001,563
7/16/2001,557
7/17/2001,549
7/18/2001,523
7/19/2001,518
7/20/2001,507
7/23/2001,500
7/24/2001,495
7/25/2001,511
7/26/2001,509
7/27/2001,506
7/30/2001,493
7/31/2001,481
8/1/2001,475
8/2/2001,485
8/3/2001,486
8/6/2001,474
8/7/2001,450
8/8/2001,445
8/9/2001,439
8/10/2001,452
8/13/2001,454
8/14/2001,444
8/15/2001,435
8/16/2001,434
8/17/2001,455
8/20/2001,443
8/21/2001,449
8/22/2001,450
8/23/2001,461
8/24/2001,458
8/27/2001,465
8/28/2001,466
8/29/2001,466
8/30/2001,448
8/31/2001,450
9/3/2001,446
9/4/2001,446
9/5/2001,448
9/6/2001,443
9/7/2001,448
9/10/2001,446
9/11/2001,455
9/12/2001,458
9/13/2001,460
9/14/2001,479
9/17/2001,481
9/18/2001,490
9/19/2001,497
9/20/2001,496
9/21/2001,496
9/24/2001,478
9/25/2001,450
9/26/2001,445
9/27/2001,445
9/28/2001,433
10/1/2001,425
10/2/2001,419
10/3/2001,440
10/4/2001,437
10/5/2001,446
10/8/2001,439
10/9/2001,432
10/10/2001,429
10/11/2001,436
10/12/2001,442
10/15/2001,465
10/16/2001,456
10/17/2001,440
10/18/2001,438
10/19/2001,435
10/22/2001,431
10/23/2001,429
10/24/2001,427
10/25/2001,423
10/26/2001,421
10/29/2001,435
10/30/2001,430
10/31/2001,428
11/1/2001,424
11/2/2001,424
11/5/2001,424
11/6/2001,425
11/7/2001,419
11/8/2001,418
11/9/2001,425
11/12/2001,438
11/13/2001,427
11/14/2001,430
11/15/2001,429
11/16/2001,432
11/19/2001,436
11/20/2001,441
11/21/2001,446
11/22/2001,
11/23/2001,
11/26/2001,441
11/27/2001,443
11/28/2001,441
11/29/2001,440
11/30/2001,448
12/3/2001,454
12/4/2001,459
12/5/2001,454
12/6/2001,459
12/7/2001,474
12/10/2001,473
12/11/2001,462
12/12/2001,467
12/13/2001,466
12/14/2001,466
12/17/2001,466
12/18/2001,463
12/19/2001,457
12/20/2001,457
12/21/2001,462
12/24/2001,
12/26/2001,471
12/27/2001,473
12/28/2001,483
12/31/2001,486
1/2/2002,484
1/3/2002,481
1/4/2002,475
1/7/2002,473
1/8/2002,476
1/9/2002,480
1/10/2002,480
1/11/2002,482
1/14/2002,483
1/15/2002,473
1/16/2002,480
1/17/2002,484
1/18/2002,482
1/21/2002,478
1/22/2002,478
1/23/2002,476
1/24/2002,469
1/25/2002,468
1/28/2002,467
1/29/2002,458
1/30/2002,460
1/31/2002,457
2/1/2002,455
2/4/2002,457
2/5/2002,455
2/6/2002,465
2/7/2002,472
2/8/2002,476
2/11/2002,475
2/12/2002,468
2/13/2002,470
2/14/2002,483
2/15/2002,480
2/18/2002,474
2/19/2002,472
2/20/2002,471
2/21/2002,473
2/22/2002,478
2/25/2002,480
2/26/2002,483
2/27/2002,496
2/28/2002,496
3/1/2002,491
3/4/2002,515
3/5/2002,510
3/6/2002,513
3/7/2002,509
3/8/2002,525
3/11/2002,527
3/12/2002,520
3/13/2002,514
3/14/2002,513
3/15/2002,514
3/18/2002,520
3/19/2002,521
3/20/2002,515
3/21/2002,514
3/22/2002,512
3/25/2002,518
3/26/2002,515
3/27/2002,514
3/28/2002,519
4/1/2002,527
4/2/2002,534
4/3/2002,536
4/4/2002,526
4/5/2002,534
4/8/2002,531
4/9/2002,531
4/10/2002,
4/11/2002,536
4/12/2002,536
4/15/2002,543
4/16/2002,538
4/17/2002,543
4/18/2002,563
4/19/2002,559
4/22/2002,555
4/23/2002,553
4/24/2002,559
4/25/2002,558
4/26/2002,555
4/29/2002,547
4/30/2002,538
5/1/2002,523
5/2/2002,523
5/3/2002,524
5/6/2002,525
5/7/2002,524
5/8/2002,533
5/9/2002,527
5/10/2002,524
5/13/2002,533
5/14/2002,537
5/15/2002,540
5/16/2002,540
5/17/2002,541
5/20/2002,545
5/21/2002,544
