Date,DJIA_Movement,NASDAQ,S&P500,Nikkei225,Hangseng,FTSE100,DAX,ASX,USD/EUR,USD/AUD,USD/JPY,SILVER,PLATINUM,OIL,GOLD
2/17/2000,0,0.027389252,0.000425149,0.009807589,-0.003647171,0.010069282,0.012043539,-0.008246353,-0.00212917,-0.003006329,0.008136771,0.005758157,0.026785714,-0.020277481,-0.000538835
2/18/2000,0,-0.030156541,-0.030376186,-0.000119804,-0.022499566,-0.007134428,-0.000890439,-0.002215128,0.001319797,0.004450095,0.005531876,-0.005725191,-0.095652174,-0.01016703,-0.0021565
2/22/2000,1,-0.00671393,0.004516844,-0.020134854,-0.020723352,-0.02437953,0.004510318,-0.002220046,-0.020874751,0.005593735,0.001443001,0.001919386,-0.005769231,-0.001467351,-0.006560667
2/23/2000,0,0.03838552,0.006300906,0.006651204,0.007481935,0.021513941,0.011965167,-0.000483699,0.004292703,0.009845061,0.000630403,0.003831418,-0.032882012,0.025716385,-0.00077694
2/24/2000,0,0.014794492,-0.005335445,0.002658292,0.041636372,-0.00934228,-0.007590681,0.003742371,0.008659753,0.008463542,-0.001440014,-0.009541985,-0.04,0.010386819,-0.00069979
2/25/2000,0,-0.005879593,-0.01482904,0.01259189,0.008342995,0.018285738,0.012846019,0.002153534,0.017207825,-0.005020243,0.000270392,-0.011560694,-0.020833333,0.011343495,-0.003112356
2/28/2000,1,-0.00275567,0.011017328,-0.004933991,-0.012588877,-0.015876073,-0.019583481,0.002148906,0.009721791,0.009646828,-0.016309245,-0.01754386,0.025531915,0.00595864,-0.002068373
2/29/2000,1,0.02595975,0.013627087,0.012140908,0.010892323,0.021804708,0.007568069,0.020034517,0.002696257,-0.006336312,0.006503618,-0.001984127,0.026970954,0.010801394,0
3/1/2000,1,0.01860675,0.009345514,0.006119906,-0.018978465,0.021227064,0.010907166,0.010228445,-0.005876289,0.014504698,-0.025300328,0.003976143,-0.03030303,0.026542572,-0.005944234
3/2/2000,1,-0.006180982,0.001863463,-0.00082466,0.005534492,0.010557934,0.02818864,0.003975417,0.008420834,-0.001645549,0.002521008,0.001980198,-0.027083333,0.011417058,0.010110547
3/3/2000,1,0.033711209,0.019837044,-0.006856196,0.020572331,0.008613035,0.001794636,-1.55E-05,0.000103972,-0.000822098,0.004004843,-0.009881423,0.006423983,-0.009628154,-0.001168406
3/6/2000,0,-0.002022455,-0.012695427,-0.006583324,0.027394444,0.012377619,0.001978636,-1.55E-05,0.001562012,0.010970745,-0.000556586,0.003992016,0.010638298,0.008380825,-0.002183576
3/7/2000,0,-0.011623241,-0.025631097,0.007470601,0.006002649,-0.015423705,0.01118266,-0.007610239,0.004497908,-0.003148302,-0.01429367,0.003976143,-0.004210526,0.06150266,0.00367331
3/8/2000,1,0.010194215,0.008173349,-0.008896777,0.004817721,-0.008551737,-0.009667762,-0.006203405,-0.001670844,-0.009681654,0.006497175,0.001980198,0.019027484,-0.016285625,-0.002647563
3/9/2000,1,0.030547715,0.025601808,-0.00528516,-0.017513947,0.018857608,-0.004738963,0.000407795,-0.011152416,-0.009910642,-0.004116381,0,-0.012448133,-0.073225088,-0.007143973
3/10/2000,0,0.000348782,-0.004722867,0.004479139,0.011046649,0.005603113,0.003371467,-0.001661822,0.00258826,0.00309648,-0.001690935,0.005928854,0.012605042,-0.004809344,-0.001690717
3/13/2000,1,-0.028003668,-0.008207439,-0.028377688,-0.041228437,-0.015497783,-0.035368839,-0.001664588,0.001140132,-0.004703974,-0.008939494,-0.003929273,0,0.009665171,0.004883813
3/14/2000,0,-0.040880483,-0.017685471,-0.002505994,-0.009798366,0.003123629,-0.005692897,-0.005977286,0.000414767,0.004071661,-0.00446259,0,0.012448133,-0.014358974,0
3/15/2000,1,-0.02634789,0.024272516,-0.00330377,-0.010748374,-0.006181514,-0.030795858,0.003829509,-0.005363037,0.00244898,0.006962327,0,-0.00204918,-0.027748873,0.000117583
3/16/2000,1,0.029408944,0.047646038,0.009153233,-0.023179949,0.017108702,0.022860734,0.009016915,-0.001441813,0.002947438,0.000473575,0.00591716,0.006160164,-0.002140564,0.000391896
3/17/2000,0,0.017115342,0.0041139,0.016261678,0.044256387,0.000106781,0.01674059,0.007561578,0.001650506,0.006593045,0.004449494,-0.005882353,-0.004081633,-0.003575259,0.007286403
3/20/2000,1,-0.039209002,-0.005353449,0.000920947,0.008866756,0.010140287,0.020939131,0.007504829,-0.001647786,0.000329761,0.003770028,0,0.008196721,-0.081808396,0.006728114
3/21/2000,1,0.022056437,0.025565854,0.000920099,-0.00200067,-0.000996316,-0.008186814,0.008495399,0.000721427,-0.005737705,0.003849765,-0.009861933,0.014227642,-0.025791325,0.003476783
3/22/2000,0,0.032487312,0.004531867,0.006694626,0.020177848,-0.001254145,-0.001192385,-0.008423835,0.009887594,0.007265522,-0.001309513,0.013944223,0.002004008,0.033694344,0.005120111
3/23/2000,1,0.015593784,0.017799046,-0.00146908,0.009605097,-0.002269426,-0.013315219,0.000831061,-0.008564648,0.002483033,0.00636883,0.001964637,-0.02,-0.017462165,-0.001876747
3/24/2000,0,0.004537886,7.20E-05,0.012864025,0.003894325,0.021820869,0.030883293,-0.003629109,-0.003393665,-0.003792876,-0.001861331,-0.005882353,-0.012244898,0.016587678,-0.002302379
3/27/2000,0,-0.000900604,-0.002356838,0.016181377,0.02858034,-0.007612941,-0.005033734,-0.003642328,0.008190773,-0.008177952,-0.001118881,0.001972387,0.002066116,-0.022533023,-0.008884615
3/28/2000,0,-0.025142364,-0.010584965,0.004600878,0.000482706,-0.005547927,0.004997148,0.000712553,0.003224464,-0.004396678,-0.011481378,-0.005905512,-0.006185567,-0.014308426,-0.00411347
3/29/2000,1,-0.039144501,0.000523993,0.016310249,-0.011218653,-0.007714214,-0.008468356,-0.001331202,0.00944981,0.002775963,-0.002832861,-0.001980198,0,-0.041532258,0.005689124
3/30/2000,0,-0.040213791,-0.013655752,-0.012805084,-0.034770442,-0.023276901,-0.027956306,-0.009857654,-0.007296227,-0.000163265,-0.000662879,-0.021825397,0,0.007151872,-0.000116239
3/31/2000,0,0.025783484,0.007164304,-0.00509648,-0.003470018,0.014739651,-0.005951688,-0.019035111,0.002088992,0.01039261,-0.02653274,0,0.026970954,0.001670844,0.002480043
4/3/2000,1,-0.076353133,0.004931345,0.019160337,-0.029506691,-0.011941545,-0.022392576,0.018415074,0.001464435,-0.001811296,0.020344593,0.012170385,0.026262626,0.026688907,0.001468883
4/4/2000,0,-0.017707316,-0.007463622,-0.006371429,-0.017003837,-0.005431686,0.012596152,-0.00445,-0.002920317,0.006797083,0.004865484,0.002004008,0.019685039,-0.055239643,-0.000192991
4/5/2000,0,0.004900124,-0.004923956,-0.006417121,-0.017297969,-0.007421845,-0.025526372,-0.006736385,-0.006115891,-0.003469354,-0.003133011,0.02,0.015444015,-0.012037833,0.01123422
4/6/2000,1,0.023587107,0.009392398,-0.011687575,0.010598452,0.0112552,0.015747314,0.000538821,0.006993736,0.006150266,-0.002095238,-0.005882353,-0.017110266,-0.003481288,0.005039322
4/7/2000,0,0.041918598,0.009997742,0.001443915,0.027304493,0.018415433,0.010205223,0.007886954,-0.001042752,0.002165584,0.005249093,0.001972387,-0.023210832,-0.011790393,0.002469042
4/10/2000,1,-0.058080039,-0.007841208,0.01808391,-0.005367795,-0.00555564,-0.000697934,0.006096764,0.000208594,0.002003004,0.00987373,-0.001968504,-0.02970297,-0.068493151,-0.006252131
4/11/2000,1,-0.031588818,-0.002572348,-0.004682125,-0.021546832,-0.023601755,-0.009883003,-0.008871089,-0.000312793,0.005707571,0.005452665,0.007889546,0.014285714,-0.00142315,-0.001296423
4/12/2000,0,-0.070581135,-0.022271189,0.015139048,0.005424037,-0.00445203,5.50E-05,-0.007658383,0.004188043,-0.002177555,-0.010191678,-0.003913894,0.006036217,0.016627078,-0.004505192
4/13/2000,0,-0.024631027,-0.018171059,-0.014726055,-0.013544613,0.000976286,0.000804807,-0.015561978,0.002834943,0.001173906,-0.000944644,0,0.012,0.058411215,0.003068191
4/14/2000,0,-0.096685139,-0.058277937,-0.004469373,-0.012829784,-0.02814219,-0.031444233,0.003935849,-0.00418235,-0.001507033,-0.006051437,0.003929273,0.017786561,-0.022958057,-0.001605873
4/17/2000,1,0.065597967,0.033083594,-0.069785242,-0.085511379,-0.029701688,-0.00383792,-0.053986312,0.001465969,0.009978015,-0.008847032,0.001956947,-0.013592233,0.003163127,-0.001608456
4/18/2000,1,0.071884335,0.028663407,-0.002058069,0.034950363,0.013245237,0.001300948,0.022555165,0.007702859,-0.005549949,0.00383914,-0.01171875,-0.00984252,0.021171171,-0.006098964
4/19/2000,0,-0.02297576,-0.009808488,0.00617304,0.009744519,0.018258133,0.002809665,0.019566123,0.011527378,-0.001846567,0.0033464,0.003952569,-0.011928429,0.036612263,0.008799352
4/20/2000,1,-0.016870781,0.004952866,-0.006669533,-0.003893159,0.009102862,-0.008142182,0.003917967,-0.000746588,0.004383746,0.00485992,0,-0.024144869,0.002978723,-0.007574888
4/24/2000,1,-0.04429342,-0.003262407,-0.025273581,0.000418755,0.003348699,0.00856108,0.003902676,-0.002128566,-0.00235492,0.001991465,-0.007217848,-0.002061856,-0.004577,-0.003315215
4/25/2000,1,0.065685948,0.033275955,-0.011245596,0.000418579,0.003337523,0.00848841,0.003887505,0.014139234,-0.001846877,0.000473216,-0.007270324,-0.008264463,-0.012134,0.003094179
4/26/2000,0,-0.021863342,-0.011134091,-0.007553472,-0.009923278,-0.00421773,0.014839626,0.003872451,0.005207768,0.011205433,0.007094882,-0.007323569,-0.010416667,-0.019691781,-0.008829767
4/27/2000,0,0.039651892,0.002689994,-0.006349325,-0.002266937,-0.012339198,-0.022576767,-0.003528695,0.014752834,0.002553192,-0.00093932,-0.00804829,0.031578947,0.007423581,0.000427916
4/28/2000,0,0.022954211,-0.008526056,-0.002523463,0.021485716,0.023967132,0.026716544,0.003058301,-0.000660138,0.006510193,0.01523129,0.002028398,0.081632653,0.031209363,-0.001594276
5/1/2000,1,0.025234071,0.010892054,0.023889398,0.009615768,0.003634984,0.009524332,-0.004429055,-0.003399123,0.00637931,0.008427487,-0.002024291,0.018867925,0.026197804,0.0012463
5/2/2000,0,-0.043614612,-0.014956554,0.001971371,0.009524185,0.003621819,0.009434475,0.009381076,0.005734451,-0.009731945,-0.002387731,0.014198783,-0.009259259,0.021186246,0.020655049
5/3/2000,0,-0.020642168,-0.021565566,-0.003245753,-0.015191155,-0.029591756,-0.023688677,-0.007537318,0.019907772,-0.007288136,0.004694836,0,-0.037383178,0.016174687,0.005488014
5/4/2000,0,0.003487685,-0.003907872,-0.003256322,-0.016908999,0.002393011,0.001325726,-0.017280757,-0.00179634,-0.002367264,-0.008887667,0,0.001941748,-0.002785515,0.002804836
5/5/2000,1,0.025960712,0.016359642,-0.003266961,-0.002966596,0.006322941,0.019509344,0.017486378,-0.005137942,-0.003538332,0.003328095,0.018,-0.001937984,-0.00518755,0.001663076
