Date,Close
1/3/2000,19002.85938
1/4/2000,19002.85938
1/5/2000,18542.55078
1/6/2000,18168.26953
1/7/2000,18193.41016
1/10/2000,18522.16504
1/11/2000,18850.91992
1/12/2000,18677.41992
1/13/2000,18833.28906
1/14/2000,18956.55078
1/18/2000,19196.57031
1/19/2000,18897.75
1/20/2000,19008.00977
1/21/2000,18878.08984
1/24/2000,19056.71094
1/25/2000,18895.5293
1/26/2000,19111.18945
1/27/2000,19209.7207
1/28/2000,19434.7793
1/31/2000,19539.69922
2/1/2000,19423.38086
2/2/2000,19578.91016
2/3/2000,19786.41992
2/4/2000,19763.13086
2/7/2000,19945.42969
2/8/2000,19868.88086
2/9/2000,20007.76953
2/10/2000,19710.01953
2/11/2000,19633.240235
2/14/2000,19556.46094
2/15/2000,19367.83008
2/16/2000,19599.17969
2/17/2000,19791.40039
2/18/2000,19789.0293
2/22/2000,19390.58008
2/23/2000,19519.55078
2/24/2000,19571.43945
2/25/2000,19817.88086
2/28/2000,19720.09961
2/29/2000,19959.51953
3/1/2000,20081.66992
3/2/2000,20065.10938
3/3/2000,19927.53906
3/6/2000,19796.34961
3/7/2000,19944.24023
3/8/2000,19766.80078
3/9/2000,19662.33008
3/10/2000,19750.40039
3/13/2000,19189.92969
3/14/2000,19141.83984
3/15/2000,19078.59961
3/16/2000,19253.23047
3/17/2000,19566.32031
3/20/2000,19584.339845000002
3/21/2000,19602.35938
3/22/2000,19733.58984
3/23/2000,19704.59961
3/24/2000,19958.08008
3/27/2000,20281.0293
3/28/2000,20374.33984
3/29/2000,20706.65039
3/30/2000,20441.5
3/31/2000,20337.32031
4/3/2000,20726.99023
4/4/2000,20594.92969
4/5/2000,20462.76953
4/6/2000,20223.60938
4/7/2000,20252.81055
4/10/2000,20619.06055
4/11/2000,20522.51953
4/12/2000,20833.21094
4/13/2000,20526.41992
4/14/2000,20434.67969
4/17/2000,19008.64063
4/18/2000,18969.51953
4/19/2000,19086.61914
4/20/2000,18959.32031
4/24/2000,18480.15039
4/25/2000,18272.33008
4/26/2000,18134.31055
4/27/2000,18019.16992
4/28/2000,17973.69922
5/1/2000,18403.08008
5/2/2000,18439.35938
5/3/2000,18379.50977
5/4/2000,18319.66016
5/5/2000,18259.81055
5/8/2000,18199.96094
5/9/2000,17844.53906
5/10/2000,17701.4707
5/11/2000,16882.46094
5/12/2000,17357.85938
5/15/2000,17313.68945
5/16/2000,17551.25
5/17/2000,17404.0293
5/18/2000,17031.63086
5/19/2000,16858.16992
5/22/2000,16386.00977
5/23/2000,16318.73047
5/24/2000,16044.44043
5/25/2000,16247.82031
5/26/2000,16008.13965
5/30/2000,16228.90039
5/31/2000,16332.4502
6/1/2000,16694.30078
6/2/2000,16800.06055
6/5/2000,17201.78906
6/6/2000,17170.08008
6/7/2000,17144.96094
6/8/2000,17004.33984
6/9/2000,16861.91016
6/12/2000,16980.60938
6/13/2000,16914.94922
6/14/2000,16654.41992
6/15/2000,16338.7002
6/16/2000,16318.30957
6/19/2000,16591.34961
6/20/2000,16907.55078
6/21/2000,17210.08008
6/22/2000,17106.00977
6/23/2000,16963.21094
6/26/2000,16925.40039
6/27/2000,17279.06055
6/28/2000,17370.16992
6/29/2000,17475.90039
6/30/2000,17411.05078
7/3/2000,17614.66016
7/5/2000,17435.94922
7/6/2000,17282.36914
7/7/2000,17398.24023
7/10/2000,17572.67969
7/11/2000,17504.35938
7/12/2000,17342.13086
7/13/2000,17036.90039
7/14/2000,17142.90039
7/17/2000,17286.83008
7/18/2000,16945.07031
7/19/2000,16983.57031
7/20/2000,16897.53027
7/21/2000,16811.49023
7/24/2000,16547.11914
7/25/2000,16573.58984
7/26/2000,16502.60938
7/27/2000,16182.00977
7/28/2000,15838.57031
7/31/2000,15727.49023
8/1/2000,16099.669919999998
8/2/2000,16206.19043
8/3/2000,15814.44043
8/4/2000,15667.36035
8/7/2000,16002.70996
8/8/2000,15820.11035
8/9/2000,16034.59961
8/10/2000,15975.65039
8/11/2000,16117.5
8/14/2000,16153.91016
8/15/2000,16298.29004
8/16/2000,16356.03027
8/17/2000,16161.03027
8/18/2000,16280.49023
8/21/2000,16040.17969
8/22/2000,16454.74023
8/23/2000,16436.65039
8/24/2000,16670.82031
8/25/2000,16911.33008
8/28/2000,17181.11914
8/29/2000,17141.75
8/30/2000,16901.66992
8/31/2000,16861.25977
9/1/2000,16739.7793
9/5/2000,16452.26953
9/6/2000,16399.86914
9/7/2000,16300.45996
9/8/2000,16501.55078
9/11/2000,16130.90039
9/12/2000,16040.23047
9/13/2000,16190.51953
9/14/2000,16213.28027
9/15/2000,16137.220215
9/18/2000,16061.16016
9/19/2000,16124.19043
9/20/2000,16458.31055
9/21/2000,16311.04981
9/22/2000,15818.25
9/25/2000,15992.90039
