sgd,0.517427536
3year/2018_2021_Everything_old.csv,
sgd,0.488636364
3year/2000_2003_Everything_old.csv,
adam,0.558201581
3year/2003_2006_Everything_old.csv,
adam,0.525065876
3year/2006_2009_Everything_old.csv,
adam,0.557081686
3year/2009_2012_Everything_old.csv,
adam,0.477355072
3year/2012_2015_Everything_old.csv,
adam,0.532641634
3year/2015_2018_Everything_old.csv,
adam,0.551528986
3year/2018_2021_Everything_old.csv,
adam,0.423636364
3year/2000_2003_Everything_old.csv,
lbfgs,0.536972991
3year/2003_2006_Everything_old.csv,
lbfgs,0.491749012
3year/2006_2009_Everything_old.csv,
lbfgs,0.52773386
3year/2009_2012_Everything_old.csv,
lbfgs,0.51576087
3year/2012_2015_Everything_old.csv,
lbfgs,0.523402503
3year/2015_2018_Everything_old.csv,
lbfgs,0.565615942
3year/2018_2021_Everything_old.csv,
lbfgs,0.503787879
4year/2000_2004_Everything_old.csv,
sgd,0.549990836
4year/2004_2008_Everything_old.csv,
sgd,0.488407258
4year/2008_2012_Everything_old.csv,
sgd,0.520362903
4year/2012_2016_Everything_old.csv,
sgd,0.512197581
4year/2016_2020_Everything_old.csv,
sgd,0.4807973
4year/2000_2004_Everything_old.csv,
adam,0.534460533
4year/2004_2008_Everything_old.csv,
adam,0.501108871
4year/2008_2012_Everything_old.csv,
adam,0.498387097
4year/2012_2016_Everything_old.csv,
adam,0.503125
4year/2016_2020_Everything_old.csv,
adam,0.480409597
4year/2000_2004_Everything_old.csv,
lbfgs,0.568664467
4year/2004_2008_Everything_old.csv,
lbfgs,0.523810484
4year/2008_2012_Everything_old.csv,
lbfgs,0.562197581
4year/2012_2016_Everything_old.csv,
lbfgs,0.499395161
4year/2016_2020_Everything_old.csv,
lbfgs,0.505938697
5year/2000_2005_Everything_old.csv,
sgd,0.500312695
5year/2005_2010_Everything_old.csv,
sgd,0.462236842
5year/2010_2015_Everything_old.csv,
sgd,0.516474359
5year/2015_2020_Everything_old.csv,
sgd,0.474098973
5year/2000_2005_Everything_old.csv,
adam,0.495309568
5year/2005_2010_Everything_old.csv,
adam,0.487230094
5year/2010_2015_Everything_old.csv,
adam,0.542321188
5year/2015_2020_Everything_old.csv,
adam,0.493963585
5year/2000_2005_Everything_old.csv,
lbfgs,0.533395872
5year/2005_2010_Everything_old.csv,
lbfgs,0.500259784
5year/2010_2015_Everything_old.csv,
lbfgs,0.528903509
5year/2015_2020_Everything_old.csv,
