Date,S&P_Movement,GOLD,OIL,SILVER,PLATINUM,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Volume,S&P_Open,S&P_High,S&P_Low,S&P_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Volume,DAX_Open,DAX_High,DAX_Low,DAX_Close,DAX_Volume,ASX_Open,ASX_High,ASX_Low,ASX_Close,ASX_Volume,HANGSENG_Open,HANGSENG_High,HANGSENG_Low,HANGSENG_Close,HANGSENG_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Volume,ISM_MONTHLY_PMI,FOREX_AUS,FOREX_EUR,FOREX_NZ,FOREX_UK,FOREX_BR,FOREX_CAN,FOREX_CHINA,FOREX_DEN,FOREX_HK,FOREX_IND,FOREX_JAP,FOREX_KOR,FOREX_MAL,FOREX_MEX,FOREX_NOR,FOREX_SWE,FOREX_SOUTHAFR,FOREX_SINGA,FOREX_SRI,FOREX_SWI,FOREX_TAI,FOREX_THAI,FOREX_VEN
1104728400.0,0,435.6,40.38,6.76,858,2184.75,2191.600098,2148.719971,2152.149902,2193130000,1211.920044,1217.800049,1200.319946,1510800000,10783.75,10867.38965,10710.07031,10729.42969,270620000,4260.919922,4310.299805,4251.370117,4291.529785,75848400,4048.3000490000004,4060.399902,4044.5,4058.600098,0,14216.04004,14267.20996,14150.019530000001,14237.419919999998,145563000,13.39,14.23,13.25,14.08,0,57.2,0.779,1.3476,0.7148,1.9058,2.6695,1.2108,8.2765,5.5161,7.7775,43.35,102.83,1038.0,3.8,11.215,6.1035,6.6855,5.6425,1.639,103.45,1.1466,31.71,38.89,1.9152
1104814800.0,0,427.75,40.75,6.39,847,2158.310059,2159.639893,2100.560059,2107.860107,2690460000,1202.079956,1205.839966,1185.390015,1721000000,10727.80957,10769.55957,10605.15039,10630.780270000001,293280000,4281.629883,4306.689941,4276.549805,4290.5,90132800,4058.399902,4058.399902,4026.100098,4039.399902,0,14198.509769999999,14198.509769999999,13991.2002,14045.90039,397498200,14.01,14.45,13.93,13.98,0,57.2,0.7668,1.3295,0.7069,1.8834,2.702,1.2248,8.2765,5.5927,7.7851,43.47,104.27,1038.0,3.8,11.3191,6.2407,6.8144,5.86,1.6459,102.7,1.1674,31.79,39.175,1.9152
1104901200.0,1,426.0,41.0,6.38,848,2102.899902,2116.75,2091.23999,2091.23999,2375380000,1188.050049,1192.72998,1183.719971,1738900000,10629.530270000001,10684.42969,10597.75,10597.83008,263550000,4262.209961,4274.649902,4242.069824,4258.240234000001,96055000,4037.0,4041.100098,4026.1999509999996,4029.899902,0,13939.019530000001,13941.12988,13709.580080000002,13764.36035,530200600,13.98,14.09,13.26,14.09,0,57.2,0.7678,1.3292,0.703,1.8875,2.697,1.2236,8.2765,5.5959,7.7881,43.6,103.95,1046.3,3.8,11.334000000000001,6.2135,6.7911,5.895,1.6448,100.3,1.1673,31.92,39.07,1.9152
1104987600.0,0,424.35,43.25,6.43,851,2098.51001,2103.899902,2088.030029,2090.0,2174220000,1183.73999,1191.630005,1183.27002,1569100000,10593.19043,10667.58008,10589.33008,10622.87988,232850000,4260.370117,4300.990234000001,4260.370117,4300.939941,89752200,4034.399902,4069.6999509999996,4034.399902,4063.1999509999996,0,13718.79004,13789.15039,13672.55957,13712.04004,418761600,14.09,14.09,13.33,13.58,0,57.2,0.7612,1.3187,0.6979,1.8751,2.719,1.2371,8.2765,5.6417,7.7935,43.75,104.87,1058.0,3.8,11.411,6.2665,6.8655,6.103,1.6496,99.3,1.1733,32.04,39.24,1.9152
1105074000.0,1,422.2,43.28,6.38,849,2099.949951,2103.389893,2076.689941,2088.610107,2191910000,1187.890015,1192.199951,1182.160034,1477900000,10624.799809999999,10653.25,10571.74023,10603.95996,283770000,4297.990234000001,4325.77002,4288.259765999999,4316.399902,98291600,4034.399902,4069.6999509999996,4034.399902,4063.1999509999996,0,13698.16016,13771.4502,13403.0,13574.86035,571206400,13.47,13.51,12.94,13.49,0,57.2,0.758,1.3062,0.6955,1.8702,2.7095,1.2333,8.2765,5.6951,7.792000000000001,43.63,104.93,1051.0,3.8,11.36,6.2971,6.92,6.0965,1.6481,98.95,1.1859,32.0,39.16,1.9152
1105333200.0,0,420.0,44.71,6.37,849,2087.6201170000004,2111.429932,2086.659912,2097.040039,2098270000,1186.189941,1194.780029,1184.800049,1490400000,10603.44043,10663.74023,10582.37988,10621.030270000001,279500000,4311.859863000001,4324.379883,4291.25,4307.370117,88288800,4076.5,4089.8000490000004,4072.6999509999996,4072.6999509999996,0,13573.419919999998,13605.019530000001,13435.42969,13531.38965,317377800,13.92,13.93,12.94,13.23,0,57.2,0.7596,1.3109,0.6949,1.8751,2.6955,1.2194,8.2765,5.6746,7.7946,43.82,104.32,1053.0,3.8,11.255,6.2675,6.8856,5.976,1.6440000000000001,97.95,1.1792,32.215,39.12,1.9152
1105419600.0,1,421.35,43.45,6.41,861,2089.070068,2090.6201170000004,2072.6201170000004,2079.6201170000004,2210240000,1190.25,1190.25,1180.430054,1488800000,10619.76953,10619.76953,10531.54004,10556.219729999999,292050000,4305.859863000001,4314.379883,4247.779785,4258.009765999999,125780700,4074.0,4076.0,4060.6999509999996,4070.399902,0,13609.30957,13649.42969,13455.30957,13509.25,340797200,13.44,13.68,13.05,13.19,0,57.2,0.7642,1.3161,0.7002,1.8796,2.7119999999999997,1.2142,8.2765,5.653,7.7955,43.68,103.42,1045.0,3.8,11.217,6.2278,6.8616,5.955,1.6363,98.1,1.1758,31.98,39.0,1.9152
1105506000.0,0,426.6,43.75,6.54,861,2089.699951,2093.439941,2066.790039,2092.530029,2257670000,1182.98999,1187.920044,1175.640015,1562100000,10561.32031,10622.87988,10499.469729999999,10617.780270000001,293140000,4257.640136999999,4258.339844,4193.240234000001,4208.819824,131373200,4074.0,4089.399902,4067.0,4069.5,0,13456.54004,13565.30957,13352.70996,13565.30957,336973200,13.94,13.94,12.54,12.56,0,57.2,0.768,1.3281,0.7070000000000001,1.8932,2.6961,1.1982,8.2765,5.601,7.7929,43.53,102.26,1042.0,3.8,11.1715,6.1726,6.8179,5.935,1.6313,98.15,1.1649,31.85,38.85,1.9152
1105592400.0,1,423.6,45.76,6.65,863,2093.540039,2094.800049,2067.939941,2070.560059,2111610000,1187.699951,1187.699951,1175.810059,1510300000,10617.41016,10618.15039,10485.73047,10505.83008,271180000,4218.209961,4234.089844,4200.620117,4212.140136999999,115748800,4067.0,4069.0,4056.8000490000004,4061.600098,0,13570.21973,13631.41016,13533.009769999999,13573.28027,396311200,12.7,12.86,12.37,12.84,0,57.2,0.767,1.3207,0.7065,1.8832,2.699,1.2005,8.2765,5.6331,7.7915,43.52,102.55,1036.0,3.8,11.198,6.1952,6.8465,6.0057,1.631,98.4,1.1726,31.69,38.67,1.9152
1105678800.0,0,422.5,45.26,6.63,856,2079.469971,2088.580078,2075.469971,2087.909912,2084860000,1177.449951,1185.209961,1177.449951,1335400000,10506.70996,10567.00977,10503.75977,10558.0,223070000,4191.140136999999,4236.089844,4191.140136999999,4232.359863000001,93131000,4067.0,4069.0,4056.8000490000004,4061.600098,0,13509.45996,13582.54004,13411.30957,13494.78027,473364600,12.68,12.82,12.29,12.43,0,57.2,0.7586,1.3106,0.6981,1.8695,2.7039999999999997,1.2188,8.2765,5.6758,7.7962,43.55,102.5,1043.0,3.8,11.2375,6.2558,6.905,6.0225,1.6374,95.75,1.1821,31.885,38.68,1.9152
