Date,S&P_Movement,GOLD,OIL,SILVER,PLATINUM,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Volume,S&P_Open,S&P_High,S&P_Low,S&P_Close,S&P_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Volume,DAX_Open,DAX_High,DAX_Low,DAX_Close,DAX_Volume,ASX_Open,ASX_High,ASX_Low,ASX_Close,ASX_Volume,HANGSENG_Open,HANGSENG_High,HANGSENG_Low,HANGSENG_Close,HANGSENG_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Volume,ISM_MONTHLY_PMI,FOREX_AUS,FOREX_EUR,FOREX_NZ,FOREX_UK,FOREX_BR,FOREX_CAN,FOREX_CHINA,FOREX_DEN,FOREX_HK,FOREX_IND,FOREX_JAP,FOREX_KOR,FOREX_MAL,FOREX_MEX,FOREX_NOR,FOREX_SWE,FOREX_SOUTHAFR,FOREX_SINGA,FOREX_SRI,FOREX_SWI,FOREX_TAI,FOREX_THAI,FOREX_VEN
1546405200.0,0,1282.9,54.06,15.28,785,6506.910156,6693.709961,6506.879883,6665.939941,2261800000,2476.959961,2519.48999,2467.469971,2510.030029,3733160000,23058.60938,23413.4707,22928.58984,23346.24023,321570000,10477.76953,10612.719729999999,10386.969729999999,10580.19043,79626700,5557.799805,5646.5,5557.799805,5633.399902,0,25824.43945,25824.43945,25055.26953,25130.34961,1666316400,27.540001,28.530001000000002,23.049999,23.219998999999998,0,56.6,0.7,1.1357,0.6668,1.2598,3.8123,1.3591,6.8597,6.5748,7.835,70.02,109.22,1119.11,4.135,19.6065,8.6976,8.9931,14.41,1.3652,182.8,0.9884,30.78,32.26,636.5846
1546491600.0,1,1290.45,53.23,15.44,795,6584.77002,6600.209961,6457.129883,6463.5,2607290000,2491.919922,2493.139893,2443.959961,2447.889893,3822860000,23176.39063,23176.39063,22638.41016,22686.2207,424240000,10467.11035,10538.66016,10400.11035,10416.66016,84733800,5633.399902,5633.399902,5568.700195,5619.399902,0,25077.67969,25262.21094,24896.86914,25064.35938,1481291700,25.68,26.6,24.049999,25.450001,0,56.6,0.7014,1.1399,0.6687,1.2633,3.7429,1.3484,6.8708,6.5505,7.8308,70.12,108.07,1124.64,4.141,19.6095,8.693999999999999,9.0004,14.3125,1.3637,182.65,0.9889,30.86,32.19,636.5846
1546578000.0,1,1279.9,55.64,15.66,799,6567.140136999999,6760.689941,6554.240234000001,6738.859863,2579550000,2474.330078,2538.070068,2474.330078,2531.939941,4213410000,22894.91992,23518.64063,22894.91992,23433.16016,396020000,10533.94043,10786.33984,10483.90039,10767.69043,95339500,5633.399902,5633.399902,5568.700195,5619.399902,0,24946.11914,25626.0293,24924.73047,25626.0293,1708572100,24.360001,24.48,21.190001000000002,21.379998999999998,0,56.6,0.7108,1.141,0.6743,1.274,3.7149,1.3399,6.8663,6.5448,7.8339,69.63,108.29,1116.73,4.1339999999999995,19.44,8.6109,8.9488,13.9625,1.3594,182.5,0.9859,30.8,32.0,636.5846
1546837200.0,1,1292.2,57.1,15.64,827,6757.529785,6855.600098000001,6741.399901999999,6823.470215,2507550000,2535.610107,2566.159912,2524.560059,2549.689941,4104710000,23474.25977,23687.74023,23301.58984,23531.34961,334200000,10814.38965,10814.469729999999,10681.26953,10747.80957,71151400,5683.200195,5733.700195,5666.600098,5722.399902,44936000,26015.83984,26043.64063,25753.46094,25835.69922,1447090300,22.059998999999998,22.709999,20.91,21.4,0,56.6,0.7143,1.1468,0.6762,1.2757,3.71,1.3297,6.8501,6.5116,7.8348,69.78,108.62,1117.5,4.113,19.314,8.5387,8.9013,13.8775,1.3558,182.1,0.981,30.8,31.96,636.5846
1546923600.0,1,1286.45,56.91,15.46,822,6893.439941,6909.580078,6795.859863,6897.0,2380290000,2568.110107,2579.820068,2547.560059,2574.409912,4083030000,23680.32031,23864.65039,23581.44922,23787.44922,317420000,10750.19043,10910.70996,10745.030270000001,10803.98047,93672200,5722.399902,5781.399902,5722.399902,5778.299805,0,25852.5,25960.89063,25688.5,25875.44922,1578205700,20.959999,22.030001000000002,20.09,20.469998999999998,0,56.6,0.7134,1.1444,0.6723,1.2724,3.7204,1.3307,6.8519,6.5244,7.837999999999999,70.11,108.57,1122.93,4.1160000000000005,19.355,8.5505,8.9281,13.94,1.3579,182.5,0.981,30.84,32.04,702.8086
1547010000.0,1,1288.6,59.46,15.51,820,6923.060059,6985.220215,6899.560059,6957.080078,2422590000,2580.0,2595.320068,2568.889893,2584.959961,4052480000,23844.26953,23985.44922,23776.56055,23879.11914,324570000,10884.75,10961.91992,10839.08984,10893.32031,96071900,5778.299805,5795.299805,5755.399902,5795.299805,0,26237.28906,26597.07031,26192.65039,26462.32031,2680892000,20.440001000000002,22.799999,19.48,19.98,0,56.6,0.7172,1.1524,0.6794,1.2764,3.6832,1.3212,6.8117,6.4788,7.8369,70.42,108.38,1117.7,4.113,19.230999999999998,8.4745,8.8836,13.8825,1.3538,182.3,0.9767,30.77,31.97,702.8086
1547096400.0,0,1291.9,60.47,15.6,823,6908.649901999999,6991.370117,6877.080078,6986.069823999999,2179080000,2573.51001,2597.820068,2562.02002,2596.639893,3704500000,23811.10938,24014.7793,23703.25,24001.91992,338150000,10843.88965,10927.12988,10788.049809999999,10921.58984,77255600,5795.299805,5808.600098,5774.600098,5774.600098,0,26391.7793,26588.21094,26212.33984,26521.42969,1939043900,20.98,21.32,19.290001,19.5,0,56.6,0.7190000000000001,1.1517,0.679,1.2768,3.6915,1.3232,6.7875,6.4814,7.8378,70.43,108.29,1116.1,4.095,19.16,8.4702,8.8829,13.85,1.3516,181.9,0.9817,30.79,31.91,793.4714
1547182800.0,0,1288.95,59.24,15.53,820,6947.459961,6975.649901999999,6933.600098000001,6971.47998,2066500000,2588.110107,2596.27002,2577.399902,2596.26001,3434490000,23940.00977,23996.32031,23798.16016,23995.94922,262650000,10949.12988,10959.0,10829.91992,10887.45996,75537200,5795.299805,5808.600098,5774.600098,5774.600098,0,26692.01953,26692.01953,26494.85938,26667.26953,1799353900,19.68,20.16,18.120001000000002,18.190001000000002,0,56.6,0.7204,1.1479,0.6826,1.2836,3.7073,1.3256,6.7596,6.5022,7.8393,70.38,108.34,1117.18,4.093999999999999,19.12,8.5245,8.9305,13.8425,1.3524,181.8,0.9829,30.79,31.93,793.4714
1547442000.0,1,1292.75,58.8,15.46,805,6908.029785,6936.220215,6887.47998,6905.919922,1942210000,2580.310059,2589.320068,2570.409912,2582.610107,3664450000,23880.5293,23964.90039,23765.24023,23909.83984,277560000,10820.84961,10886.23047,10786.75,10855.91016,65945800,5773.399902,5814.600098,5773.399902,5814.600098,0,26559.67969,26575.33008,26195.7793,26298.33008,1426017400,19.84,20.27,18.700001,19.07,0,56.6,0.7204,1.1479,0.6826,1.2836,3.7073,1.3256,6.7596,6.5022,7.8393,70.38,108.34,1117.18,4.093999999999999,19.12,8.5245,8.9305,13.8425,1.3524,181.8,0.9829,30.79,31.93,793.4714
1547528400.0,1,1294.4,58.65,15.52,803,6931.390137,7025.850098000001,6928.120117,7023.830078,2038090000,2585.100098,2613.080078,2585.100098,2610.300049,3572330000,23914.10938,24099.14063,23887.92969,24065.58984,291570000,10962.9502,10994.83008,10812.58984,10891.79004,80197500,5814.600098,5835.200195,5805.0,5835.200195,0,26518.61914,26838.55078,26427.44922,26830.28906,1822902000,18.530001000000002,19.200001,17.98,18.6,0,56.6,0.7192,1.1392,0.6812,1.2761,3.7162,1.3272,6.7595,6.5511,7.8425,71.0,108.72,1122.59,4.103,19.0555,8.5545,8.9763,13.7825,1.3564,182.1,0.9885,30.82,31.9,947.0963
1547614800.0,1,1292.3,59.81,15.46,800,7033.75,7079.629883,7028.120117,7034.689941,2149580000,2614.75,2625.76001,2612.679932,2616.100098,3863770000,24139.91016,24288.60938,24119.7207,24207.16016,302830000,10940.36035,10947.87012,10866.38965,10931.24023,79810600,5835.200195,5856.399902,5831.0,5850.100098,0,26702.92969,26903.7793,26567.51953,26902.09961,1714886500,18.08,19.040001,17.76,19.040001,0,56.6,0.7184,1.1408,0.6787,1.2862,3.7284,1.3243,6.7532,6.542999999999999,7.8431,70.97,108.84,1119.1,4.1080000000000005,18.97,8.5305,8.9846,13.6825,1.3541,182.2,0.9899,30.82,31.68,947.0963
