Date,S&P_Movement,GOLD,OIL,SILVER,PLATINUM,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Volume,S&P_Open,S&P_High,S&P_Low,S&P_Close,S&P_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Volume,DAX_Open,DAX_High,DAX_Low,DAX_Close,DAX_Volume,ASX_Open,ASX_High,ASX_Low,ASX_Close,ASX_Volume,HANGSENG_Open,HANGSENG_High,HANGSENG_Low,HANGSENG_Close,HANGSENG_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Volume,ISM_MONTHLY_PMI,FOREX_AUS,FOREX_EUR,FOREX_NZ,FOREX_UK,FOREX_BR,FOREX_CAN,FOREX_CHINA,FOREX_DEN,FOREX_HK,FOREX_IND,FOREX_JAP,FOREX_KOR,FOREX_MAL,FOREX_MEX,FOREX_NOR,FOREX_SWE,FOREX_SOUTHAFR,FOREX_SINGA,FOREX_SRI,FOREX_SWI,FOREX_TAI,FOREX_THAI,FOREX_VEN
1451883600.0,1,1082.25,36.28,13.64,892,4897.649902,4903.089844,4846.97998,4903.089844,2218420000,2038.199951,2038.199951,1989.680054,2012.660034,4304880000,17405.48047,17405.48047,16957.63086,17148.93945,148060000,10485.80957,10485.91016,10248.58008,10283.44043,0,5270.5,5270.5,5183.700195,5184.399902,0,21782.61914,21794.83984,21227.60938,21327.11914,1712094800,22.48,23.360001,20.67,20.700001,0,48.2,0.7166,1.0803,0.674,1.4686,4.0613,1.3969999999999998,6.5338,6.9072,7.7505,66.56,119.3,1191.46,4.342,17.36,8.9246,8.5057,15.615,1.4264,143.54,1.0042,33.15,36.15,6.2842
1451970000.0,0,1077.0,35.56,13.69,895,4917.839844,4926.72998,4872.740234000001,4891.430176,1927380000,2013.780029,2021.939941,2004.1700440000002,2016.709961,3706620000,17147.5,17195.83984,17038.60938,17158.66016,105750000,10373.26953,10384.25977,10173.51953,10310.09961,0,5184.399902,5191.100098,5094.799805,5123.100098,0,21318.68945,21452.74023,21095.90039,21188.7207,1484745100,20.75,21.059998999999998,19.25,19.34,0,48.2,0.7151,1.0743,0.67,1.4664,4.0108,1.3991,6.5219,6.9441,7.7517,66.49,118.95,1190.43,4.34,17.3595,8.9165,8.5987,15.626,1.4279,144.2,1.0096,33.14,36.12,6.2842
1452056400.0,0,1091.4,33.89,13.71,879,4813.759765999999,4866.040039,4804.689941,4835.759765999999,2168620000,2011.709961,2011.709961,1979.050049,1990.2600100000002,4336660000,17154.83008,17154.83008,16817.61914,16906.50977,120250000,10288.67969,10288.67969,10094.17969,10214.01953,0,5123.100098,5124.100098,4996.5,5010.299805,0,21142.63086,21199.61914,20947.30078,20980.81055,1651083400,21.67,21.860001,19.799999,20.59,0,48.2,0.7070000000000001,1.0762,0.6642,1.4626,4.0163,1.4084,6.5554,6.9328,7.7523,66.71,118.54,1200.16,4.388999999999999,17.436,8.9668,8.6024,15.7855,1.4356,143.9,1.0084,33.27,36.23,6.2842
1452142800.0,0,1106.35,33.57,13.8,873,4736.399902,4788.02002,4688.169922,4689.430176,2552590000,1985.319946,1985.319946,1938.8299559999998,1943.089966,5076590000,16888.35938,16888.35938,16463.63086,16514.09961,176240000,10144.16992,10145.469729999999,9810.469727,9979.849609,0,5010.299805,5034.299805,4940.299805,4990.799805,0,20772.59961,20826.43945,20323.9707,20333.33984,2982003800,23.219998999999998,25.860001,22.4,24.99,0,48.2,0.7025,1.0859999999999999,0.6653,1.4579,4.0504,1.4061,6.5926,6.8692,7.7541,66.73,118.0,1193.05,4.39,17.6525,8.919,8.5106,15.974,1.4306,143.68,1.0018,33.2,36.21,6.2842
1452229200.0,1,1101.85,31.67,13.94,884,4722.02002,4742.569824,4637.850098,4643.629883,2288750000,1945.969971,1960.4000239999998,1918.459961,1922.030029,4664940000,16519.16992,16651.89063,16314.57031,16346.4502,141850000,10010.469729999999,10122.45996,9849.339844,9849.339844,0,5010.299805,5034.299805,4940.299805,4990.799805,0,20491.88086,20596.41992,20324.61914,20453.71094,2078133200,22.959999,27.08,22.48,27.01,0,48.2,0.6976,1.0885,0.6559,1.4523,4.048,1.415,6.5932,6.8527,7.7636,66.82,117.74,1206.97,4.375,17.9145,8.9045,8.5287,16.18,1.4414,143.56,0.9972,33.34,36.32,6.2842
1452488400.0,1,1100.75,30.14,13.73,856,4673.439941,4683.02002,4573.779785,4637.990234000001,2391110000,1926.119995,1935.6500239999998,1901.0999760000002,1923.6700440000002,4607290000,16358.70996,16461.84961,16232.03027,16398.57031,127790000,9814.040039,9978.69043,9813.019531,9825.070313,0,4932.200195,4983.700195,4910.700195,4925.100098,0,19997.41992,20068.7793,19865.17969,19888.5,2127840400,25.58,27.389999,23.83,24.299999,0,48.2,0.6992,1.0878,0.6554,1.4564,4.0464,1.4203,6.5675,6.8586,7.7596,66.78,117.48,1206.55,4.38,17.956,8.9399,8.5253,16.8025,1.4352,143.68,1.0,33.38,36.29,6.2842
1452574800.0,0,1085.4,29.14,13.61,844,4681.540039,4714.799805,4618.029785,4685.919922,2147470000,1927.8299559999998,1947.380005,1914.3499760000002,1938.680054,4887260000,16419.10938,16591.34961,16322.07031,16516.2207,117480000,9832.820313,10092.66992,9832.820313,9985.429688,0,4925.100098,4992.399902,4925.100098,4987.399902,0,20030.0293,20130.80078,19694.99023,19711.75977,1834357100,22.969998999999998,23.93,21.91,22.469998999999998,0,48.2,0.6975,1.0837,0.6523,1.4403,4.0454,1.4293,6.57,6.8846,7.7617,66.85,117.78,1208.95,4.409,17.923,8.9039,8.5535,16.7125,1.4381,143.68,1.003,33.41,36.33,6.2842
1452661200.0,1,1088.15,28.58,13.55,845,4706.02002,4713.97998,4517.560059,4526.060059,2533200000,1940.339966,1950.3299559999998,1886.410034,1890.280029,5087030000,16526.63086,16593.50977,16123.2002,16151.41016,153530000,10112.34961,10164.049809999999,9929.070313,9960.959961,0,4987.399902,4987.399902,4865.0,4909.399902,0,20028.85938,20234.7793,19850.73047,19934.88086,1787070400,21.719998999999998,26.110001,21.440001000000002,25.219998999999998,0,48.2,0.6996,1.0862,0.6559,1.4469999999999998,3.9893,1.4294,6.57,6.8698,7.7594,66.74,118.06,1208.95,4.409,17.8595,8.8019,8.5165,16.3905,1.4338,143.68,1.0064,33.41,36.33,6.2842
1452747600.0,0,1088.4,28.84,13.86,838,4545.370117,4650.549805,4470.589844,4615.0,2565560000,1891.680054,1934.469971,1878.930054,1921.839966,5241110000,16159.009769999999,16482.05078,16075.12012,16379.049809999999,158830000,9836.849609,9884.269531,9614.769531,9794.200195,0,4929.799805,4997.100098,4870.299805,4892.799805,0,19578.91992,19893.88086,19509.08008,19817.41016,1783215300,24.75,26.280001000000002,23.07,23.950001,0,48.2,0.698,1.0862,0.647,1.4409,4.0032,1.4374,6.5891,6.8713,7.7854,67.37,118.03,1211.28,4.39,17.893,8.7635,8.5348,16.4305,1.4372,143.4,1.0072,33.49,36.33,6.2842
1452834000.0,0,1093.75,28.8,13.6,841,4464.370117,4520.450195,4419.410156,4488.419922,2818630000,1916.680054,1916.680054,1857.8299559999998,1880.3299559999998,5468460000,16354.330080000002,16354.330080000002,15842.11035,15988.080080000002,239210000,9778.360352,9832.919922,9459.089844,9545.269531,0,4929.799805,4997.100098,4870.299805,4892.799805,0,19781.46094,19828.92969,19500.38086,19520.76953,1932607600,28.959999,30.950001,26.67,27.02,0,48.2,0.6864,1.0964,0.6431,1.4289,4.048,1.4531,6.584,6.8069,7.7962,67.74,116.78,1216.95,4.3965,18.2475,8.8195,8.5512,16.8125,1.4403,143.26,0.9984,33.61,36.33,6.2842
