Date,S&P_Movement,GOLD,OIL,SILVER,PLATINUM,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Volume,S&P_Open,S&P_High,S&P_Low,S&P_Close,S&P_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Volume,DAX_Open,DAX_High,DAX_Low,DAX_Close,DAX_Volume,ASX_Open,ASX_High,ASX_Low,ASX_Close,ASX_Volume,HANGSENG_Open,HANGSENG_High,HANGSENG_Low,HANGSENG_Close,HANGSENG_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Volume,ISM_MONTHLY_PMI,FOREX_AUS,FOREX_EUR,FOREX_NZ,FOREX_UK,FOREX_BR,FOREX_CAN,FOREX_CHINA,FOREX_DEN,FOREX_HK,FOREX_IND,FOREX_JAP,FOREX_KOR,FOREX_MAL,FOREX_MEX,FOREX_NOR,FOREX_SWE,FOREX_SOUTHAFR,FOREX_SINGA,FOREX_SRI,FOREX_SWI,FOREX_TAI,FOREX_THAI,FOREX_VEN
946875600.0,0,290.25,23.95,5.38,450.0,4186.189941,4192.189941,3989.709961,4131.149902,1510070000,1469.25,1478.0,1438.359985,1455.219971,931800000,11501.84961,11522.00977,11305.69043,11357.50977,169750000,6961.720215,7159.330078,6720.870117,6750.759765999999,43072500.0,3093.699951,3093.699951,3093.699951,3093.699951,0.0,17057.69922,17426.16016,17057.69922,17369.63086,0,24.360001,26.15,23.98,24.209999,0,56.7,0.6591,1.0155,0.5254,1.6269999999999998,1.805,1.4465,8.2798,7.329,7.7765,43.55,101.7,1128.0,3.8,9.4015,7.963999999999999,8.443,6.126,1.6563,72.3,1.5808,31.38,36.97,0.6498
946962000.0,0,281.5,23.95,5.33,436.0,4020.0,4073.25,3898.22998,3901.689941,1511840000,1455.219971,1455.219971,1397.430054,1399.420044,1009000000,11349.75,11350.05957,10986.4502,10997.92969,178420000,6747.240234000001,6755.359863,6510.459961,6586.950195,46678400.0,3018.699951,3018.699951,3018.699951,3018.699951,0.0,17303.0,17303.0,16933.51953,17072.82031,0,24.940001,27.18,24.799999,27.01,0,56.7,0.6562,1.0309,0.5198,1.6369999999999998,1.8405,1.4518,8.2799,7.218,7.7775,43.55,103.09,1122.5,3.8,9.457,7.934,8.36,6.085,1.6535,72.65,1.5565,30.6,37.13,0.6503
947048400.0,1,280.45,23.72,5.29,420.0,3854.350098,3924.209961,3734.870117,3877.540039,1735670000,1399.420044,1413.27002,1377.680054,1402.109985,1085500000,10989.37012,11215.09961,10938.66992,11122.65039,203190000,6585.850098,6585.850098,6388.910156,6502.069824,52682800.0,2999.300049,2999.300049,2999.300049,2999.300049,0.0,16608.55078,16608.55078,15688.49023,15846.71973,0,27.98,29.0,25.85,26.41,0,56.7,0.655,1.0335,0.5171,1.6415,1.856,1.4518,8.2798,7.207999999999998,7.778,43.55,103.77,1135.0,3.8,9.535,7.935,8.353,6.07,1.656,72.95,1.5526,30.8,37.1,0.6515
947134800.0,1,279.4,23.55,5.13,415.0,3834.439941,3868.76001,3715.620117,3727.129883,1598320000,1402.109985,1411.900024,1392.099976,1403.449951,1092300000,11113.37012,11313.4502,11098.4502,11253.25977,176550000,6501.450195,6539.310059,6402.629883,6474.919922,41180600.0,3023.399902,3023.399902,3023.399902,3023.399902,0.0,15942.07031,15971.03027,14763.96973,15153.23047,0,26.68,26.709999,24.700001,25.73,0,56.7,0.654,1.0324,0.5145,1.6475,1.84,1.4571,8.2797,7.2125,7.7785,43.55,105.19,1146.5,3.8,9.567,7.94,8.3675,6.08,1.6655,72.95,1.554,31.75,37.62,0.6503
947221200.0,1,282.1,23.35,5.11,420.0,3711.090088,3882.669922,3711.090088,3882.620117,1634930000,1403.449951,1441.469971,1400.72998,1441.469971,1225200000,11247.05957,11528.13965,11239.91992,11522.55957,184900000,6489.939941,6791.529785,6470.1401369999985,6780.959961,56058900.0,3023.399902,3023.399902,3023.399902,3023.399902,0.0,15329.33984,15513.88965,15108.75,15405.62988,0,25.139999,25.17,21.719999,21.719999,0,56.7,0.6548,1.0294,0.516,1.6384,1.831,1.4505,8.2794,7.2285,7.7783,43.55,105.17,1138.0,3.8,9.52,7.966,8.415,6.057,1.6625,73.15,1.5623,30.85,37.3,0.6508
947480400.0,1,281.6,22.77,5.12,422.0,4002.22998,4072.360107,3958.830078,4049.669922,1691710000,1441.469971,1464.359985,1441.469971,1457.599976,1064800000,11532.48047,11638.28027,11532.48047,11572.2002,168180000,6785.470215,6975.259765999999,6785.470215,6925.52002,42006200.0,3160.800049,3160.800049,3160.800049,3160.800049,0.0,15631.0,16065.08984,15631.0,15848.15039,0,21.889999,22.49,21.360001,21.709999,0,56.7,0.6561,1.0252,0.5168,1.6374,1.819,1.4568,8.2794,7.254,7.7785,43.55,105.28,1133.5,3.8,9.445,8.024,8.449,6.0765,1.6618,73.3,1.5704,30.83,37.27,0.6518
947566800.0,0,282.25,23.93,5.13,423.0,4031.379883,4066.659912,3904.820068,3921.189941,1694460000,1457.599976,1458.660034,1434.420044,1438.560059,1014000000,11568.46973,11663.09961,11502.7002,11511.08008,177300000,6926.040039,6943.830078,6821.259765999999,6891.25,43890000.0,3088.399902,3088.399902,3088.399902,3088.399902,0.0,15981.12988,16196.08984,15736.169919999998,15862.09961,0,21.98,22.629999,21.690001,22.5,0,56.7,0.6575,1.0322,0.5164,1.648,1.8225,1.457,8.2795,7.213999999999999,7.7785,43.6,106.09,1147.0,3.8,9.4825,7.9689999999999985,8.397,6.09,1.669,73.35,1.5605,30.83,37.61,0.652
947653200.0,0,282.25,24.62,5.13,423.0,3950.949951,3950.97998,3834.530029,3850.02002,1525900000,1438.560059,1442.599976,1427.079956,1432.25,974600000,11506.73047,11612.53027,11505.17969,11551.09961,194060000,6878.919922,6913.5,6783.220215,6912.810059,34683100.0,3078.899902,3078.899902,3078.899902,3078.899902,0.0,15691.73047,15744.04004,15545.669919999998,15714.2002,0,23.049999,23.49,22.41,22.84,0,56.7,0.6578,1.0281,0.5185,1.6465,1.835,1.455,8.2796,7.2360000000000015,7.7787,43.6,105.76,1144.5,3.8,9.515,7.977,8.418,6.0685,1.669,73.35,1.5659999999999998,30.8,37.54,0.6526
947739600.0,1,282.1,24.9,5.08,425.0,3915.139893,3957.469971,3858.219971,3957.209961,1476970000,1432.25,1454.199951,1432.25,1449.680054,1030400000,11558.24023,11656.58008,11524.11035,11582.42969,174910000,6913.129883,7106.450195,6898.689941,6955.97998,48116200.0,3115.399902,3115.399902,3115.399902,3115.399902,0.0,15763.25977,15861.169919999998,15458.62988,15633.95996,0,22.73,23.1,21.32,21.709999,0,56.7,0.6687,1.027,0.524,1.6482,1.814,1.4495,8.2798,7.252000000000002,7.7788,43.55,106.09,1135.5,3.8,9.51,7.9425,8.417,6.057,1.67,73.35,1.5707,30.8,37.49,0.6533
947826000.0,1,283.3,25.5,5.09,434.0,4045.719971,4091.949951,4045.719971,4064.27002,1656630000,1449.680054,1473.0,1449.680054,1465.150024,1085900000,11619.34961,11750.28027,11612.53027,11722.98047,266830000,6960.290039,7207.450195,6960.290039,7173.220215,47040900.0,3115.399902,3115.399902,3115.399902,3115.399902,0.0,15741.54004,15863.48047,15322.19043,15542.23047,0,19.83,20.15,19.51,19.66,0,56.7,0.6665,1.0128,0.5212,1.6353,1.805,1.4497,8.2797,7.347,7.7789,43.55,105.86,1125.0,3.8,9.455,7.997000000000001,8.474,6.075,1.6752,73.35,1.5945,30.83,37.55,0.6513
